beta          ESS              Norm_ESS       
0.941206      581988.0431      0.8435         
0.945729      586850.1370      0.8505         
0.950251      586271.1179      0.8497         
0.954774      589800.1825      0.8548         
0.959296      587172.9082      0.8510         
0.963819      583691.5077      0.8459         
0.968342      584132.7083      0.8466         
0.972864      577565.4870      0.8371         
0.977387      574630.1728      0.8328         
0.981910      569829.1957      0.8258         
0.986432      563736.3017      0.8170         
0.990955      560137.6712      0.8118         
0.995477      547175.2394      0.7930         
1.000000      538777.6131      0.7808         
