2D Ising Model Multi-Temperature Free Energy Training Summary
======================================================================
L = 64
N = 4096
Boundary = OBC
Number of temperatures = 69
Temperatures (beta) = [0.1, 0.1109, 0.1217, 0.1325, 0.1432, 0.1538, 0.1643, 0.1747, 0.185, 0.1952, 0.2053, 0.2153, 0.2252, 0.235, 0.2447, 0.2543, 0.2638, 0.2732, 0.2824, 0.2915, 0.3005, 0.3094, 0.3181, 0.3267, 0.3352, 0.3435, 0.3517, 0.3597, 0.3676, 0.3753, 0.3828, 0.3902, 0.3974, 0.4044, 0.4112, 0.4178, 0.4242, 0.4303, 0.4362, 0.4419, 0.4474, 0.4529, 0.4586, 0.4646, 0.4711, 0.478, 0.4854, 0.4933, 0.5018, 0.5108, 0.5204, 0.5307, 0.5417, 0.5535, 0.5661, 0.5797, 0.5944, 0.6103, 0.6276, 0.6466, 0.6675, 0.6907, 0.7167, 0.7462, 0.7801, 0.8199, 0.8677, 0.9274, 1.0]
total_batch_size = 2000  (samples_per_temp = 28)
Annealing strategy = THREE-PHASE CRITICAL
  Phase 1 (0-20%):   factor 0.00 -> 0.35 [fast warmup]
  Phase 2 (20-70%):  factor 0.35 -> 0.55 [critical wandering]
  Phase 3 (70-100%): factor 0.55 -> 1.00 [low-T hardening]
Annealing steps = 15000
Warmup steps = 2000
Seed = 11
Training steps = 20000
Model parameters = 2533456
Z2 symmetry = ENABLED

Final Free Energy Results:
----------------------------------------------------------------------
Beta       F/n             std(F/n)       
----------------------------------------------------------------------
0.1000     -7.03071609     0.00014778     
0.1109     -6.36047292     0.00012125     
0.1217     -5.81680555     0.00011055     
0.1325     -5.36362730     0.00009696     
0.1432     -4.98377912     0.00009033     
0.1538     -4.66119194     0.00008370     
0.1643     -4.38417509     0.00008078     
0.1747     -4.14401767     0.00007723     
0.1850     -3.93410015     0.00007658     
0.1952     -3.74929838     0.00007724     
0.2053     -3.58558576     0.00007884     
0.2153     -3.43975564     0.00008226     
0.2252     -3.30922175     0.00008409     
0.2350     -3.19187468     0.00008431     
0.2447     -3.08597813     0.00008588     
0.2543     -2.99009002     0.00008693     
0.2638     -2.90300213     0.00008959     
0.2732     -2.82369382     0.00009409     
0.2824     -2.75204893     0.00010102     
0.2915     -2.68646671     0.00010626     
0.3005     -2.62632841     0.00011374     
0.3094     -2.57109591     0.00012083     
0.3181     -2.52086037     0.00013007     
0.3267     -2.47458006     0.00013897     
0.3352     -2.43191071     0.00014762     
0.3435     -2.39299529     0.00015708     
0.3517     -2.35705482     0.00016641     
0.3597     -2.32424876     0.00017399     
0.3676     -2.29392739     0.00018317     
0.3753     -2.26625406     0.00019052     
0.3828     -2.24100527     0.00019873     
0.3902     -2.21767508     0.00020642     
0.3974     -2.19642678     0.00021293     
0.4044     -2.17710001     0.00022151     
0.4112     -2.15954831     0.00023453     
0.4178     -2.14364008     0.00024894     
0.4242     -2.12926494     0.00026696     
0.4303     -2.11651833     0.00028866     
0.4362     -2.10508822     0.00031099     
0.4419     -2.09489830     0.00031662     
0.4474     -2.08587555     0.00030746     
0.4529     -2.07763436     0.00027571     
0.4586     -2.06987098     0.00023397     
0.4646     -2.06245350     0.00019483     
0.4711     -2.05517347     0.00016451     
0.4780     -2.04819112     0.00013917     
0.4854     -2.04144397     0.00012009     
0.4933     -2.03497759     0.00010365     
0.5018     -2.02875757     0.00009006     
0.5108     -2.02289498     0.00007886     
0.5204     -2.01735214     0.00006847     
0.5307     -2.01210923     0.00006067     
0.5417     -2.00720224     0.00005308     
0.5535     -2.00261736     0.00004802     
0.5661     -1.99838254     0.00004229     
0.5797     -1.99445773     0.00003859     
0.5944     -1.99084820     0.00003470     
0.6103     -1.98755866     0.00003235     
0.6276     -1.98457670     0.00003008     
0.6466     -1.98188347     0.00002712     
0.6675     -1.97948437     0.00002580     
0.6907     -1.97736606     0.00002432     
0.7167     -1.97551764     0.00002252     
0.7462     -1.97392701     0.00002107     
0.7801     -1.97258557     0.00002018     
0.8199     -1.97147722     0.00001927     
0.8677     -1.97059143     0.00001836     
0.9274     -1.96991043     0.00001811     
1.0000     -1.96944619     0.00001859     
