# beta E_per_spin std_E M_per_spin std_M Cv_per_spin
0.100000 -0.20022613 0.00063715 0.01550984 0.00006154 0.02072171
0.110900 -0.22275009 0.00070804 0.01599098 0.00006337 0.02595776
0.121700 -0.24553213 0.00077973 0.01643356 0.00006517 0.03105700
0.132500 -0.26853129 0.00085225 0.01690862 0.00006698 0.03773978
0.143200 -0.29156884 0.00092489 0.01742837 0.00006907 0.04464110
0.153800 -0.31506580 0.00099902 0.01790253 0.00007103 0.05224592
0.164300 -0.33856500 0.00107319 0.01848267 0.00007329 0.06071312
0.174700 -0.36176190 0.00114641 0.01915935 0.00007582 0.06946963
0.185000 -0.38550929 0.00122140 0.01968695 0.00007813 0.07938173
0.195200 -0.40962886 0.00129759 0.02054453 0.00008137 0.09031612
0.205300 -0.43373938 0.00137375 0.02121375 0.00008404 0.10190651
0.215300 -0.45827010 0.00145127 0.02188980 0.00008694 0.11551352
0.225200 -0.48292262 0.00152914 0.02294403 0.00009092 0.12771506
0.235000 -0.50791823 0.00160814 0.02380859 0.00009434 0.14292970
0.244700 -0.53303237 0.00168749 0.02483657 0.00009842 0.15721247
0.254300 -0.55870732 0.00176865 0.02582290 0.00010232 0.17507045
0.263800 -0.58488271 0.00185138 0.02694298 0.00010687 0.19324127
0.273200 -0.61125980 0.00193476 0.02813402 0.00011153 0.21208112
0.282400 -0.63753525 0.00201783 0.02972444 0.00011771 0.23444762
0.291500 -0.66459713 0.00210338 0.03114881 0.00012360 0.25673306
0.300500 -0.69233058 0.00219106 0.03292100 0.00013050 0.28014495
0.309400 -0.72041104 0.00227985 0.03469946 0.00013744 0.30725192
0.318100 -0.74820534 0.00236772 0.03670633 0.00014564 0.33233811
0.326700 -0.77681821 0.00245820 0.03895761 0.00015424 0.36392364
0.335200 -0.80651345 0.00255209 0.04154051 0.00016450 0.39464133
0.343500 -0.83669929 0.00264755 0.04469438 0.00017692 0.43293853
0.351700 -0.86757586 0.00274519 0.04793212 0.00018974 0.46915147
0.359700 -0.89732987 0.00283929 0.05173431 0.00020459 0.51141731
0.367600 -0.92977818 0.00294190 0.05616151 0.00022202 0.55295938
0.375300 -0.96136321 0.00304179 0.06150419 0.00024307 0.59845208
0.382800 -0.99479403 0.00314754 0.06800211 0.00026849 0.65871294
0.390200 -1.02819976 0.00325319 0.07492430 0.00029562 0.71263990
0.397400 -1.06285102 0.00336282 0.08411123 0.00033199 0.78462103
0.404400 -1.09792827 0.00347379 0.09479107 0.00037337 0.86143554
0.411200 -1.13506770 0.00359127 0.10997501 0.00043168 0.93853268
0.417800 -1.17213010 0.00370855 0.12876417 0.00050402 1.04074526
0.424200 -1.21071573 0.00383065 0.15763802 0.00061186 1.15722288
0.430300 -1.25012026 0.00395535 0.19915601 0.00076065 1.28472560
0.436200 -1.29181613 0.00408734 0.25892244 0.00096195 1.44986827
0.441900 -1.33833098 0.00423454 0.34747351 0.00123684 1.61821486
0.447400 -1.38359116 0.00437765 0.45275165 0.00154129 1.69941840
0.452900 -1.42955728 0.00452284 0.55995502 0.00183935 1.67429214
0.458600 -1.47368389 0.00466209 0.65048892 0.00209233 1.53454277
0.464600 -1.51484018 0.00479194 0.71637724 0.00228311 1.37507455
0.471100 -1.55279781 0.00491173 0.76506078 0.00242839 1.23364774
0.478000 -1.58882265 0.00502544 0.80219942 0.00254175 1.09616979
0.485400 -1.62133642 0.00512810 0.83104503 0.00263085 0.99768505
0.493300 -1.65278326 0.00522739 0.85467204 0.00270450 0.89468756
0.501800 -1.68198192 0.00531961 0.87463490 0.00276699 0.81974363
0.510800 -1.70915015 0.00540542 0.89148412 0.00281988 0.73746306
0.520400 -1.73485269 0.00548661 0.90591601 0.00286528 0.67590692
0.530700 -1.75925248 0.00556370 0.91854809 0.00290508 0.61892814
0.541700 -1.78154112 0.00563411 0.92947003 0.00293951 0.56034788
0.553500 -1.80254714 0.00570048 0.93910884 0.00296992 0.50816897
0.566100 -1.82172530 0.00576108 0.94746080 0.00299628 0.46048224
0.579700 -1.83982916 0.00581828 0.95503289 0.00302018 0.41664820
0.594400 -1.85669333 0.00587157 0.96176146 0.00304143 0.37182171
0.610300 -1.87202017 0.00592000 0.96761897 0.00305993 0.33302185
0.627600 -1.88612019 0.00596456 0.97281648 0.00307635 0.29448314
0.646600 -1.89912454 0.00600566 0.97749594 0.00309114 0.25959980
0.667500 -1.91085417 0.00604272 0.98155216 0.00310395 0.22694139
0.690700 -1.92145025 0.00607621 0.98514617 0.00311531 0.19486197
0.716700 -1.93088069 0.00610601 0.98825991 0.00312515 0.16573866
0.746200 -1.93924794 0.00613246 0.99095695 0.00313368 0.13809988
0.780100 -1.94645568 0.00615524 0.99323101 0.00314086 0.11211294
0.819900 -1.95262440 0.00617474 0.99514867 0.00314693 0.08789854
0.867700 -1.95779002 0.00619106 0.99672059 0.00315189 0.06597551
0.927400 -1.96192192 0.00620412 0.99796774 0.00315584 0.04628908
1.000000 -1.96483646 0.00621333 0.99883564 0.00315858 0.03002590
