# beta free_energy_per_spin free_energy_std
0.100000 -7.03071609 0.00014778
0.110900 -6.36047292 0.00012125
0.121700 -5.81680555 0.00011055
0.132500 -5.36362730 0.00009696
0.143200 -4.98377912 0.00009033
0.153800 -4.66119194 0.00008370
0.164300 -4.38417509 0.00008078
0.174700 -4.14401767 0.00007723
0.185000 -3.93410015 0.00007658
0.195200 -3.74929838 0.00007724
0.205300 -3.58558576 0.00007884
0.215300 -3.43975564 0.00008226
0.225200 -3.30922175 0.00008409
0.235000 -3.19187468 0.00008431
0.244700 -3.08597813 0.00008588
0.254300 -2.99009002 0.00008693
0.263800 -2.90300213 0.00008959
0.273200 -2.82369382 0.00009409
0.282400 -2.75204893 0.00010102
0.291500 -2.68646671 0.00010626
0.300500 -2.62632841 0.00011374
0.309400 -2.57109591 0.00012083
0.318100 -2.52086037 0.00013007
0.326700 -2.47458006 0.00013897
0.335200 -2.43191071 0.00014762
0.343500 -2.39299529 0.00015708
0.351700 -2.35705482 0.00016641
0.359700 -2.32424876 0.00017399
0.367600 -2.29392739 0.00018317
0.375300 -2.26625406 0.00019052
0.382800 -2.24100527 0.00019873
0.390200 -2.21767508 0.00020642
0.397400 -2.19642678 0.00021293
0.404400 -2.17710001 0.00022151
0.411200 -2.15954831 0.00023453
0.417800 -2.14364008 0.00024894
0.424200 -2.12926494 0.00026696
0.430300 -2.11651833 0.00028866
0.436200 -2.10508822 0.00031099
0.441900 -2.09489830 0.00031662
0.447400 -2.08587555 0.00030746
0.452900 -2.07763436 0.00027571
0.458600 -2.06987098 0.00023397
0.464600 -2.06245350 0.00019483
0.471100 -2.05517347 0.00016451
0.478000 -2.04819112 0.00013917
0.485400 -2.04144397 0.00012009
0.493300 -2.03497759 0.00010365
0.501800 -2.02875757 0.00009006
0.510800 -2.02289498 0.00007886
0.520400 -2.01735214 0.00006847
0.530700 -2.01210923 0.00006067
0.541700 -2.00720224 0.00005308
0.553500 -2.00261736 0.00004802
0.566100 -1.99838254 0.00004229
0.579700 -1.99445773 0.00003859
0.594400 -1.99084820 0.00003470
0.610300 -1.98755866 0.00003235
0.627600 -1.98457670 0.00003008
0.646600 -1.98188347 0.00002712
0.667500 -1.97948437 0.00002580
0.690700 -1.97736606 0.00002432
0.716700 -1.97551764 0.00002252
0.746200 -1.97392701 0.00002107
0.780100 -1.97258557 0.00002018
0.819900 -1.97147722 0.00001927
0.867700 -1.97059143 0.00001836
0.927400 -1.96991043 0.00001811
1.000000 -1.96944619 0.00001859
