# PBC Ising L=16, dps=50, h_fd=1e-05
#       beta              logZ/N            energy/N                  cv
    0.1000      0.705938848460     -0.203377391132      0.021022315791
    0.1001      0.705959196711     -0.203587624750      0.021066478082
    0.1002      0.705979565986     -0.203797879305      0.021110693097
    0.1003      0.705999956287     -0.204008154818      0.021154960863
    0.1004      0.706020367617     -0.204218451312      0.021199281405
    0.1005      0.706040799978     -0.204428768812      0.021243654752
    0.1006      0.706061253372     -0.204639107339      0.021288080931
    0.1007      0.706081727800     -0.204849466916      0.021332559967
    0.1008      0.706102223266     -0.205059847566      0.021377091889
    0.1009      0.706122739770     -0.205270249313      0.021421676724
    0.1010      0.706143277316     -0.205480672179      0.021466314499
    0.1011      0.706163835906     -0.205691116187      0.021511005241
    0.1012      0.706184415540     -0.205901581359      0.021555748977
    0.1013      0.706205016222     -0.206112067720      0.021600545735
    0.1014      0.706225637954     -0.206322575292      0.021645395542
    0.1015      0.706246280738     -0.206533104097      0.021690298426
    0.1016      0.706266944576     -0.206743654159      0.021735254413
    0.1017      0.706287629470     -0.206954225501      0.021780263531
    0.1018      0.706308335422     -0.207164818146      0.021825325808
    0.1019      0.706329062434     -0.207375432116      0.021870441271
    0.1020      0.706349810509     -0.207586067435      0.021915609948
    0.1021      0.706370579648     -0.207796724126      0.021960831865
    0.1022      0.706391369854     -0.208007402212      0.022006107052
    0.1023      0.706412181129     -0.208218101715      0.022051435535
    0.1024      0.706433013475     -0.208428822658      0.022096817343
    0.1025      0.706453866895     -0.208639565066      0.022142252502
    0.1026      0.706474741389     -0.208850328960      0.022187741040
    0.1027      0.706495636961     -0.209061114364      0.022233282986
    0.1028      0.706516553613     -0.209271921301      0.022278878368
    0.1029      0.706537491346     -0.209482749793      0.022324527212
    0.1030      0.706558450163     -0.209693599865      0.022370229547
    0.1031      0.706579430067     -0.209904471538      0.022415985400
    0.1032      0.706600431058     -0.210115364837      0.022461794800
    0.1033      0.706621453141     -0.210326279783      0.022507657775
    0.1034      0.706642496315     -0.210537216401      0.022553574353
    0.1035      0.706663560585     -0.210748174713      0.022599544561
    0.1036      0.706684645951     -0.210959154742      0.022645568428
    0.1037      0.706705752416     -0.211170156512      0.022691645982
    0.1038      0.706726879983     -0.211381180045      0.022737777251
    0.1039      0.706748028653     -0.211592225365      0.022783962263
    0.1040      0.706769198429     -0.211803292494      0.022830201046
    0.1041      0.706790389312     -0.212014381457      0.022876493629
    0.1042      0.706811601306     -0.212225492275      0.022922840040
    0.1043      0.706832834411     -0.212436624973      0.022969240308
    0.1044      0.706854088631     -0.212647779573      0.023015694459
    0.1045      0.706875363968     -0.212858956099      0.023062202524
    0.1046      0.706896660423     -0.213070154573      0.023108764530
    0.1047      0.706917978000     -0.213281375019      0.023155380506
    0.1048      0.706939316699     -0.213492617460      0.023202050481
    0.1049      0.706960676524     -0.213703881919      0.023248774482
    0.1050      0.706982057476     -0.213915168419      0.023295552538
    0.1051      0.707003459558     -0.214126476984      0.023342384679
    0.1052      0.707024882772     -0.214337807636      0.023389270932
    0.1053      0.707046327120     -0.214549160400      0.023436211327
    0.1054      0.707067792605     -0.214760535297      0.023483205891
    0.1055      0.707089279228     -0.214971932352      0.023530254655
    0.1056      0.707110786992     -0.215183351588      0.023577357645
    0.1057      0.707132315899     -0.215394793027      0.023624514892
    0.1058      0.707153865952     -0.215606256694      0.023671726424
    0.1059      0.707175437151     -0.215817742610      0.023718992271
    0.1060      0.707197029501     -0.216029250801      0.023766312459
    0.1061      0.707218643002     -0.216240781288      0.023813687020
    0.1062      0.707240277658     -0.216452334095      0.023861115982
    0.1063      0.707261933470     -0.216663909246      0.023908599373
    0.1064      0.707283610440     -0.216875506763      0.023956137224
    0.1065      0.707305308572     -0.217087126670      0.024003729562
    0.1066      0.707327027867     -0.217298768990      0.024051376417
    0.1067      0.707348768326     -0.217510433747      0.024099077818
    0.1068      0.707370529954     -0.217722120964      0.024146833795
    0.1069      0.707392312751     -0.217933830664      0.024194644377
    0.1070      0.707414116721     -0.218145562871      0.024242509592
    0.1071      0.707435941865     -0.218357317607      0.024290429471
    0.1072      0.707457788185     -0.218569094896      0.024338404041
    0.1073      0.707479655684     -0.218780894762      0.024386433334
    0.1074      0.707501544365     -0.218992717228      0.024434517378
    0.1075      0.707523454229     -0.219204562317      0.024482656203
    0.1076      0.707545385278     -0.219416430053      0.024530849838
    0.1077      0.707567337515     -0.219628320459      0.024579098312
    0.1078      0.707589310943     -0.219840233558      0.024627401655
    0.1079      0.707611305563     -0.220052169373      0.024675759898
    0.1080      0.707633321378     -0.220264127929      0.024724173068
    0.1081      0.707655358389     -0.220476109249      0.024772641197
    0.1082      0.707677416600     -0.220688113355      0.024821164313
    0.1083      0.707699496013     -0.220900140272      0.024869742447
    0.1084      0.707721596629     -0.221112190022      0.024918375628
    0.1085      0.707743718451     -0.221324262630      0.024967063885
    0.1086      0.707765861482     -0.221536358118      0.025015807250
    0.1087      0.707788025724     -0.221748476511      0.025064605751
    0.1088      0.707810211178     -0.221960617831      0.025113459418
    0.1089      0.707832417848     -0.222172782102      0.025162368282
    0.1090      0.707854645735     -0.222384969348      0.025211332372
    0.1091      0.707876894843     -0.222597179591      0.025260351719
    0.1092      0.707899165172     -0.222809412856      0.025309426352
    0.1093      0.707921456726     -0.223021669166      0.025358556301
    0.1094      0.707943769507     -0.223233948544      0.025407741598
    0.1095      0.707966103517     -0.223446251015      0.025456982270
    0.1096      0.707988458758     -0.223658576600      0.025506278350
    0.1097      0.708010835233     -0.223870925325      0.025555629867
    0.1098      0.708033232944     -0.224083297212      0.025605036851
    0.1099      0.708055651893     -0.224295692285      0.025654499333
    0.1100      0.708078092083     -0.224508110568      0.025704017342
    0.1101      0.708100553516     -0.224720552084      0.025753590910
    0.1102      0.708123036194     -0.224933016857      0.025803220067
    0.1103      0.708145540120     -0.225145504909      0.025852904843
    0.1104      0.708168065296     -0.225358016266      0.025902645269
    0.1105      0.708190611724     -0.225570550950      0.025952441374
    0.1106      0.708213179407     -0.225783108985      0.026002293191
    0.1107      0.708235768346     -0.225995690394      0.026052200748
    0.1108      0.708258378546     -0.226208295202      0.026102164077
    0.1109      0.708281010006     -0.226420923432      0.026152183209
    0.1110      0.708303662731     -0.226633575106      0.026202258174
    0.1111      0.708326336722     -0.226846250250      0.026252389003
    0.1112      0.708349031982     -0.227058948887      0.026302575726
    0.1113      0.708371748513     -0.227271671039      0.026352818375
    0.1114      0.708394486317     -0.227484416732      0.026403116980
    0.1115      0.708417245397     -0.227697185988      0.026453471573
    0.1116      0.708440025755     -0.227909978832      0.026503882183
    0.1117      0.708462827393     -0.228122795286      0.026554348842
    0.1118      0.708485650315     -0.228335635375      0.026604871581
    0.1119      0.708508494521     -0.228548499122      0.026655450431
    0.1120      0.708531360015     -0.228761386551      0.026706085423
    0.1121      0.708554246799     -0.228974297686      0.026756776588
    0.1122      0.708577154876     -0.229187232550      0.026807523957
    0.1123      0.708600084247     -0.229400191167      0.026858327562
    0.1124      0.708623034915     -0.229613173561      0.026909187433
    0.1125      0.708646006882     -0.229826179755      0.026960103602
    0.1126      0.708669000151     -0.230039209774      0.027011076099
    0.1127      0.708692014725     -0.230252263640      0.027062104957
    0.1128      0.708715050605     -0.230465341379      0.027113190207
    0.1129      0.708738107794     -0.230678443013      0.027164331880
    0.1130      0.708761186294     -0.230891568566      0.027215530007
    0.1131      0.708784286108     -0.231104718062      0.027266784620
    0.1132      0.708807407239     -0.231317891525      0.027318095751
    0.1133      0.708830549687     -0.231531088978      0.027369463430
    0.1134      0.708853713457     -0.231744310446      0.027420887690
    0.1135      0.708876898550     -0.231957555952      0.027472368562
    0.1136      0.708900104969     -0.232170825520      0.027523906077
    0.1137      0.708923332716     -0.232384119174      0.027575500268
    0.1138      0.708946581794     -0.232597436938      0.027627151166
    0.1139      0.708969852204     -0.232810778835      0.027678858803
    0.1140      0.708993143950     -0.233024144890      0.027730623210
    0.1141      0.709016457034     -0.233237535125      0.027782444420
    0.1142      0.709039791458     -0.233450949566      0.027834322464
    0.1143      0.709063147225     -0.233664388235      0.027886257374
    0.1144      0.709086524337     -0.233877851158      0.027938249182
    0.1145      0.709109922796     -0.234091338357      0.027990297920
    0.1146      0.709133342605     -0.234304849856      0.028042403620
    0.1147      0.709156783767     -0.234518385680      0.028094566315
    0.1148      0.709180246283     -0.234731945853      0.028146786035
    0.1149      0.709203730157     -0.234945530398      0.028199062814
    0.1150      0.709227235390     -0.235159139338      0.028251396683
    0.1151      0.709250761985     -0.235372772700      0.028303787675
    0.1152      0.709274309945     -0.235586430505      0.028356235822
    0.1153      0.709297879272     -0.235800112778      0.028408741156
    0.1154      0.709321469969     -0.236013819543      0.028461303709
    0.1155      0.709345082037     -0.236227550824      0.028513923514
    0.1156      0.709368715480     -0.236441306645      0.028566600603
    0.1157      0.709392370299     -0.236655087029      0.028619335009
    0.1158      0.709416046498     -0.236868892002      0.028672126764
    0.1159      0.709439744078     -0.237082721586      0.028724975900
    0.1160      0.709463463043     -0.237296575806      0.028777882450
    0.1161      0.709487203394     -0.237510454687      0.028830846447
    0.1162      0.709510965135     -0.237724358251      0.028883867923
    0.1163      0.709534748267     -0.237938286522      0.028936946911
    0.1164      0.709558552793     -0.238152239526      0.028990083444
