# Device: cuda:3 | TF32 disabled: True
# L=16,  N=256 spins,  beta_c = ln(1+sqrt(2))/2 ~ 0.44069
# Derivatives: central finite difference, h=0.0001
# Precomputation: 0.65s | Matrix: 960x960 | ~0.01 GB/tensor
#     beta            logZ/N      FreeEnergy/N          Energy/N                Cv     dt(s)
  0.1000      0.7025949671     -7.0259496713     -0.1904220991      0.0196330973     0.391
  0.1001      0.7026140192     -7.0191210705     -0.1906184391      0.0196741860     0.076
  0.1002      0.7026330908     -7.0123062956     -0.1908147971      0.0197153247     0.078
  0.1003      0.7026521821     -7.0055053052     -0.1910111731      0.0197565103     0.073
  0.1004      0.7026712930     -6.9987180583     -0.1912075672      0.0197977461     0.071
  0.1005      0.7026904236     -6.9919445137     -0.1914039793      0.0198390295     0.081
  0.1006      0.7027095738     -6.9851846307     -0.1916004095      0.0198803604     0.086
  0.1007      0.7027287437     -6.9784383685     -0.1917968578      0.0199217422     0.079
  0.1008      0.7027479332     -6.9717056867     -0.1919933243      0.0199631714     0.094
  0.1009      0.7027671424     -6.9649865448     -0.1921898089      0.0200046484     0.089
  0.1010      0.7027863712     -6.9582809028     -0.1923863117      0.0200461744     0.078
  0.1011      0.7028056196     -6.9515887204     -0.1925828326      0.0200877500     0.092
  0.1012      0.7028248877     -6.9449099580     -0.1927793718      0.0201293731     0.081
  0.1013      0.7028441755     -6.9382445756     -0.1929759292      0.0201710452     0.067
  0.1014      0.7028634829     -6.9315925338     -0.1931725048      0.0202127667     0.066
  0.1015      0.7028828100     -6.9249537932     -0.1933690987      0.0202545359     0.075
  0.1016      0.7029021568     -6.9183283145     -0.1935657109      0.0202963542     0.056
  0.1017      0.7029215232     -6.9117160585     -0.1937623414      0.0203382221     0.067
  0.1018      0.7029409092     -6.9051169864     -0.1939589902      0.0203801376     0.067
  0.1019      0.7029603150     -6.8985310594     -0.1941556573      0.0204221021     0.069
  0.1020      0.7029797404     -6.8919582387     -0.1943523428      0.0204641162     0.053
  0.1021      0.7029991854     -6.8853984860     -0.1945490467      0.0205061775     0.064
  0.1022      0.7030186502     -6.8788517628     -0.1947457690      0.0205482904     0.063
  0.1023      0.7030381346     -6.8723180310     -0.1949425097      0.0205904504     0.073
  0.1024      0.7030576387     -6.8657972526     -0.1951392689      0.0206326586     0.072
  0.1025      0.7030771624     -6.8592893895     -0.1953360465      0.0206749180     0.071
  0.1026      0.7030967059     -6.8527944042     -0.1955328426      0.0207172240     0.060
  0.1027      0.7031162690     -6.8463122590     -0.1957296571      0.0207595813     0.057
  0.1028      0.7031358518     -6.8398429164     -0.1959264902      0.0208019856     0.059
  0.1029      0.7031554543     -6.8333863391     -0.1961233419      0.0208444398     0.055
  0.1030      0.7031750765     -6.8269424900     -0.1963202121      0.0208869435     0.057
  0.1031      0.7031947183     -6.8205113321     -0.1965171008      0.0209294962     0.052
  0.1032      0.7032143799     -6.8140928284     -0.1967140082      0.0209720966     0.044
  0.1033      0.7032340611     -6.8076869423     -0.1969109342      0.0210147482     0.054
  0.1034      0.7032537621     -6.8012936371     -0.1971078788      0.0210574472     0.057
  0.1035      0.7032734827     -6.7949128765     -0.1973048420      0.0211001975     0.071
  0.1036      0.7032932230     -6.7885446240     -0.1975018240      0.0211429943     0.072
  0.1037      0.7033129831     -6.7821888436     -0.1976988246      0.0211858427     0.081
  0.1038      0.7033327628     -6.7758454991     -0.1978958439      0.0212287389     0.082
  0.1039      0.7033525622     -6.7695145548     -0.1980928820      0.0212716856     0.073
  0.1040      0.7033723814     -6.7631959749     -0.1982899388      0.0213146806     0.076
  0.1041      0.7033922202     -6.7568897237     -0.1984870144      0.0213577250     0.070
  0.1042      0.7034120788     -6.7505957657     -0.1986841088      0.0214008197     0.060
  0.1043      0.7034319571     -6.7443140657     -0.1988812220      0.0214439627     0.068
  0.1044      0.7034518550     -6.7380445885     -0.1990783540      0.0214871549     0.069
  0.1045      0.7034717727     -6.7317872988     -0.1992755049      0.0215303984     0.065
  0.1046      0.7034917101     -6.7255421619     -0.1994726746      0.0215736887     0.052
  0.1047      0.7035116673     -6.7193091429     -0.1996698633      0.0216170313     0.065
  0.1048      0.7035316441     -6.7130882071     -0.1998670708      0.0216604213     0.059
  0.1049      0.7035516407     -6.7068793201     -0.2000642973      0.0217038617     0.065
  0.1050      0.7035716570     -6.7006824473     -0.2002615427      0.0217473510     0.071
  0.1051      0.7035916930     -6.6944975546     -0.2004588071      0.0217908915     0.070
  0.1052      0.7036117487     -6.6883246077     -0.2006560904      0.0218344792     0.069
  0.1053      0.7036318242     -6.6821635727     -0.2008533928      0.0218781180     0.073
  0.1054      0.7036519194     -6.6760144156     -0.2010507142      0.0219218072     0.068
  0.1055      0.7036720343     -6.6698771028     -0.2012480546      0.0219655439     0.074
  0.1056      0.7036921690     -6.6637516006     -0.2014454141      0.0220093327     0.082
  0.1057      0.7037123234     -6.6576378754     -0.2016427927      0.0220531691     0.075
  0.1058      0.7037324976     -6.6515358939     -0.2018401904      0.0220970563     0.077
  0.1059      0.7037526915     -6.6454456229     -0.2020376072      0.0221409936     0.074
  0.1060      0.7037729051     -6.6393670292     -0.2022350432      0.0221849792     0.085
  0.1061      0.7037931385     -6.6333000799     -0.2024324983      0.0222290168     0.080
  0.1062      0.7038133916     -6.6272447420     -0.2026299726      0.0222731032     0.097
  0.1063      0.7038336645     -6.6212009828     -0.2028274661      0.0223172385     0.088
  0.1064      0.7038539571     -6.6151687697     -0.2030249788      0.0223614247     0.091
  0.1065      0.7038742695     -6.6091480701     -0.2032225108      0.0224056618     0.079
  0.1066      0.7038946016     -6.6031388517     -0.2034200620      0.0224499465     0.084
  0.1067      0.7039149535     -6.5971410823     -0.2036176325      0.0224942834     0.071
  0.1068      0.7039353251     -6.5911547296     -0.2038152223      0.0225386682     0.073
  0.1069      0.7039557165     -6.5851797617     -0.2040128314      0.0225831045     0.071
  0.1070      0.7039761277     -6.5792161466     -0.2042104599      0.0226275918     0.065
  0.1071      0.7039965586     -6.5732638526     -0.2044081077      0.0226721258     0.051
  0.1072      0.7040170093     -6.5673228480     -0.2046057749      0.0227167126     0.067
  0.1073      0.7040374798     -6.5613931013     -0.2048034615      0.0227613498     0.067
  0.1074      0.7040579700     -6.5554745810     -0.2050011676      0.0228060356     0.059
