# Device: cuda:2 | TF32 disabled: True
# L=64,  N=4096 spins,  beta_c = ln(1+sqrt(2))/2 ~ 0.44069
# Derivatives: central finite difference, h=0.0001
# Precomputation: 1.57s | Matrix: 16128x16128 | ~3.88 GB/tensor
#     beta            logZ/N      FreeEnergy/N          Energy/N                Cv     dt(s)
  0.1093      0.7050230406     -6.4503480387     -0.2194525537      0.0249337093     1.621
  0.1094      0.7050449963     -6.4446526172     -0.2196612764      0.0249820166     1.901
  0.1095      0.7050669729     -6.4389677889     -0.2198700214      0.0250303775     1.966
  0.1096      0.7050889703     -6.4332935248     -0.2200787886      0.0250787939     1.606
  0.1097      0.7051109886     -6.4276297962     -0.2202875782      0.0251272642     1.638
  0.1098      0.7051330278     -6.4219765741     -0.2204963901      0.0251757870     1.551
  0.1099      0.7051550879     -6.4163338300     -0.2207052243      0.0252243671     1.824
  0.1100      0.7051771689     -6.4107015353     -0.2209140808      0.0252729988     2.062
  0.1101      0.7051992707     -6.4050796615     -0.2211229598      0.0253216875     1.621
  0.1102      0.7052213935     -6.3994681803     -0.2213318612      0.0253704279     1.687
  0.1103      0.7052435371     -6.3938670635     -0.2215407850      0.0254192240     1.503
  0.1104      0.7052657016     -6.3882762829     -0.2217497313      0.0254680755     1.812
  0.1105      0.7052878871     -6.3826958104     -0.2219587000      0.0255169796     2.050
  0.1106      0.7053100934     -6.3771256182     -0.2221676913      0.0255659397     1.687
  0.1107      0.7053323206     -6.3715656783     -0.2223767050      0.0256149523     1.766
  0.1108      0.7053545687     -6.3660159631     -0.2225857414      0.0256640224     1.516
  0.1109      0.7053768377     -6.3604764449     -0.2227948003      0.0257131457     1.788
  0.1110      0.7053991277     -6.3549470961     -0.2230038817      0.0257623226     1.944
  0.1111      0.7054214385     -6.3494278894     -0.2232129858      0.0258115544     1.822
  0.1112      0.7054437703     -6.3439187974     -0.2234221126      0.0258608438     1.740
  0.1113      0.7054661229     -6.3384197928     -0.2236312620      0.0259101838     1.531
  0.1114      0.7054884965     -6.3329308485     -0.2238404341      0.0259595813     1.655
  0.1115      0.7055108910     -6.3274519374     -0.2240496289      0.0260090322     1.900
  0.1116      0.7055333064     -6.3219830327     -0.2242588464      0.0260585378     1.979
  0.1117      0.7055557428     -6.3165241074     -0.2244680867      0.0261080999     1.609
  0.1118      0.7055782001     -6.3110751347     -0.2246773497      0.0261577152     1.586
  0.1119      0.7056006783     -6.3056360881     -0.2248866356      0.0262073859     1.579
  0.1120      0.7056231774     -6.3002069410     -0.2250959443      0.0262571122     1.855
  0.1121      0.7056456975     -6.2947876668     -0.2253052758      0.0263068918     2.058
  0.1122      0.7056682384     -6.2893782393     -0.2255146302      0.0263567288     1.617
  0.1123      0.7056908004     -6.2839786320     -0.2257240074      0.0264066171     1.620
  0.1124      0.7057133832     -6.2785888189     -0.2259334076      0.0264565649     1.507
  0.1125      0.7057359871     -6.2732087739     -0.2261428307      0.0265065646     1.855
  0.1126      0.7057586118     -6.2678384708     -0.2263522768      0.0265566207     2.060
  0.1127      0.7057812575     -6.2624778839     -0.2265617458      0.0266067318     1.643
  0.1128      0.7058039242     -6.2571269873     -0.2267712379      0.0266568969     1.761
  0.1129      0.7058266118     -6.2517857552     -0.2269807530      0.0267071197     1.505
  0.1130      0.7058493203     -6.2464541621     -0.2271902911      0.0267573949     1.786
  0.1131      0.7058720498     -6.2411321823     -0.2273998523      0.0268077272     1.954
  0.1132      0.7058948003     -6.2358197905     -0.2276094366      0.0268581149     1.829
  0.1133      0.7059175717     -6.2305169612     -0.2278190440      0.0269085560     1.738
  0.1134      0.7059403641     -6.2252236693     -0.2280286745      0.0269590535     1.524
  0.1135      0.7059631774     -6.2199398894     -0.2282383282      0.0270096082     1.667
  0.1136      0.7059860118     -6.2146655965     -0.2284480051      0.0270602152     1.913
  0.1137      0.7060088670     -6.2094007656     -0.2286577052      0.0271108796     1.996
  0.1138      0.7060317433     -6.2041453717     -0.2288674286      0.0271615991     1.644
  0.1139      0.7060546405     -6.1988993901     -0.2290771751      0.0272123739     1.522
  0.1140      0.7060775587     -6.1936627959     -0.2292869450      0.0272632046     1.585
  0.1141      0.7061004979     -6.1884355646     -0.2294967382      0.0273140889     1.907
  0.1142      0.7061234581     -6.1832176715     -0.2297065546      0.0273650317     2.068
  0.1143      0.7061464392     -6.1780090921     -0.2299163945      0.0274160295     1.613
  0.1144      0.7061694414     -6.1728098021     -0.2301262577      0.0274670806     1.552
  0.1145      0.7061924645     -6.1676197771     -0.2303361442      0.0275181903     1.521
  0.1146      0.7062155086     -6.1624389929     -0.2305460542      0.0275693538     1.897
  0.1147      0.7062385737     -6.1572674254     -0.2307559877      0.0276205738     2.084
  0.1148      0.7062616598     -6.1521050504     -0.2309659446      0.0276718489     1.641
  0.1149      0.7062847669     -6.1469518440     -0.2311759249      0.0277231822     1.682
  0.1150      0.7063078950     -6.1418077824     -0.2313859288      0.0277745665     1.499
  0.1151      0.7063310441     -6.1366728416     -0.2315959562      0.0278260124     1.800
  0.1152      0.7063542142     -6.1315469980     -0.2318060072      0.0278775102     2.031
  0.1153      0.7063774053     -6.1264302278     -0.2320160817      0.0279290650     1.729
  0.1154      0.7064006174     -6.1213225076     -0.2322261798      0.0279806762     1.755
  0.1155      0.7064238505     -6.1162238139     -0.2324363016      0.0280323429     1.508
  0.1156      0.7064471046     -6.1111341232     -0.2326464470      0.0280840662     1.706
  0.1157      0.7064703798     -6.1060534122     -0.2328566160      0.0281358448     1.876
  0.1158      0.7064936760     -6.1009816577     -0.2330668088      0.0281876799     1.985
  0.1159      0.7065169932     -6.0959188365     -0.2332770253      0.0282395711     1.704
  0.1160      0.7065403314     -6.0908649256     -0.2334872655      0.0282915184     1.459
  0.1161      0.7065636906     -6.0858199019     -0.2336975294      0.0283435215     1.596
  0.1162      0.7065870709     -6.0807837425     -0.2339078171      0.0283955817     1.912
  0.1163      0.7066104722     -6.0757564245     -0.2341181287      0.0284476960     2.128
  0.1164      0.7066338945     -6.0707379253     -0.2343284640      0.0284998710     1.609
  0.1165      0.7066573379     -6.0657282220     -0.2345388233      0.0285520971     1.481
  0.1166      0.7066808023     -6.0607272922     -0.2347492063      0.0286043826     1.529
  0.1167      0.7067042877     -6.0557351132     -0.2349596133      0.0286567232     1.943
  0.1168      0.7067277942     -6.0507516626     -0.2351700442      0.0287091224     2.108
  0.1169      0.7067513217     -6.0457769180     -0.2353804991      0.0287615749     1.644
  0.1170      0.7067748703     -6.0408108572     -0.2355909779      0.0288140847     1.599
  0.1171      0.7067984399     -6.0358534578     -0.2358014807      0.0288666531     1.495
  0.1172      0.7068220306     -6.0309046978     -0.2360120075      0.0289192756     1.881
  0.1173      0.7068456423     -6.0259645551     -0.2362225583      0.0289719554     2.025
  0.1174      0.7068692751     -6.0210330076     -0.2364331332      0.0290246927     1.705
  0.1175      0.7068929289     -6.0161100335     -0.2366437322      0.0290774859     1.729
  0.1176      0.7069166038     -6.0111956109     -0.2368543553      0.0291303347     1.491
  0.1177      0.7069402998     -6.0062897180     -0.2370650025      0.0291832425     1.688
  0.1178      0.7069640168     -6.0013923331     -0.2372756739      0.0292362043     1.932
  0.1179      0.7069877549     -5.9965034346     -0.2374863694      0.0292892247     1.973
  0.1180      0.7070115141     -5.9916230010     -0.2376970892      0.0293423014     1.708
  0.1181      0.7070352944     -5.9867510107     -0.2379078331      0.0293954349     1.437
  0.1182      0.7070590957     -5.9818874423     -0.2381186013      0.0294486258     1.619
  0.1183      0.7070829181     -5.9770322746     -0.2383293938      0.0295018727     1.920
  0.1184      0.7071067616     -5.9721854862     -0.2385402106      0.0295551761     2.155
  0.1185      0.7071306261     -5.9673470559     -0.2387510516      0.0296085374     1.662
  0.1186      0.7071545118     -5.9625169627     -0.2389619170      0.0296619554     1.375
  0.1187      0.7071784185     -5.9576951854     -0.2391728068      0.0297154309     1.558
  0.1188      0.7072023463     -5.9528817031     -0.2393837209      0.0297689635     1.975
  0.1189      0.7072262953     -5.9480764950     -0.2395946595      0.0298225496     2.138
  0.1190      0.7072502653     -5.9432795400     -0.2398056225      0.0298761988     1.646
  0.1191      0.7072742564     -5.9384908176     -0.2400166099      0.0299299002     1.511
  0.1192      0.7072982686     -5.9337103069     -0.2402276218      0.0299836628     1.500
  0.1193      0.7073223019     -5.9289379874     -0.2404386582      0.0300374786     1.932
  0.1194      0.7073463563     -5.9241738385     -0.2406497191      0.0300913548     2.062
  0.1195      0.7073704318     -5.9194178397     -0.2408608046      0.0301452848     1.688
  0.1196      0.7073945285     -5.9146699706     -0.2410719146      0.0301992766     1.652
  0.1197      0.7074186462     -5.9099302108     -0.2412830493      0.0302533214     1.485
  0.1198      0.7074427851     -5.9051985400     -0.2414942085      0.0303074263     1.750
  0.1199      0.7074669451     -5.9004749380     -0.2417053924      0.0303615883     1.953
  0.1200      0.7074911262     -5.8957593847     -0.2419166009      0.0304158068     1.894
  0.1201      0.7075153284     -5.8910518600     -0.2421278342      0.0304700828     1.727
  0.1202      0.7075395517     -5.8863523439     -0.2423390921      0.0305244165     1.443
  0.1203      0.7075637962     -5.8816608164     -0.2425503748      0.0305788079     1.638
  0.1204      0.7075880618     -5.8769772576     -0.2427616822      0.0306332567     1.914
  0.1205      0.7076123485     -5.8723016477     -0.2429730144      0.0306877644     2.113
  0.1206      0.7076366564     -5.8676339669     -0.2431843714      0.0307423268     1.711
  0.1207      0.7076609854     -5.8629741957     -0.2433957532      0.0307969508     1.348
  0.1208      0.7076853356     -5.8583223143     -0.2436071599      0.0308516262     1.572
  0.1209      0.7077097069     -5.8536783031     -0.2438185914      0.0309063681     1.942
  0.1210      0.7077340993     -5.8490421428     -0.2440300479      0.0309611596     2.234
  0.1211      0.7077585129     -5.8444138139     -0.2442415292      0.0310160134     1.644
  0.1212      0.7077829476     -5.8397932969     -0.2444530355      0.0310709233     1.413
  0.1213      0.7078074035     -5.8351805727     -0.2446645668      0.0311258929     1.521
  0.1214      0.7078318805     -5.8305756219     -0.2448761230      0.0311809173     1.990
  0.1215      0.7078563787     -5.8259784254     -0.2450877043      0.0312360023     2.107
  0.1216      0.7078808980     -5.8213889642     -0.2452993106      0.0312911453     1.661
  0.1217      0.7079054386     -5.8168072190     -0.2455109420      0.0313463438     1.551
  0.1218      0.7079300002     -5.8122331710     -0.2457225984      0.0314016022     1.483
  0.1219      0.7079545831     -5.8076668013     -0.2459342799      0.0314569178     1.872
  0.1220      0.7079791871     -5.8031080909     -0.2461459866      0.0315122941     1.974
  0.1221      0.7080038123     -5.7985570211     -0.2463577185      0.0315677238     1.829
  0.1222      0.7080284586     -5.7940135731     -0.2465694755      0.0316232156     1.673
  0.1223      0.7080531262     -5.7894777283     -0.2467812577      0.0316787642     1.438
  0.1224      0.7080778149     -5.7849494680     -0.2469930651      0.0317343699     1.658
  0.1225      0.7081025248     -5.7804287737     -0.2472048978      0.0317900367     1.923
  0.1226      0.7081272559     -5.7759156269     -0.2474167557      0.0318457592     2.081
  0.1227      0.7081520081     -5.7714100092     -0.2476286389      0.0319015399     1.705
  0.1228      0.7081767816     -5.7669119022     -0.2478405475      0.0319573813     1.356
  0.1229      0.7082015762     -5.7624212875     -0.2480524814      0.0320132781     1.592
  0.1230      0.7082263921     -5.7579381470     -0.2482644407      0.0320692373     1.923
  0.1231      0.7082512291     -5.7534624625     -0.2484764253      0.0321252506     2.240
  0.1232      0.7082760874     -5.7489942157     -0.2486884354      0.0321813248     1.680
  0.1233      0.7083009668     -5.7445333886     -0.2489004709      0.0322374570     1.348
  0.1234      0.7083258675     -5.7400799632     -0.2491125318      0.0322936480     1.532
  0.1235      0.7083507893     -5.7356339216     -0.2493246182      0.0323498972     2.003
  0.1236      0.7083757324     -5.7311952459     -0.2495367302      0.0324062052     2.144
  0.1237      0.7084006967     -5.7267639181     -0.2497488676      0.0324625717     1.658
  0.1238      0.7084256822     -5.7223399205     -0.2499610307      0.0325189977     1.484
  0.1239      0.7084506889     -5.7179232355     -0.2501732193      0.0325754813     1.491
  0.1240      0.7084757168     -5.7135138452     -0.2503854335      0.0326320232     1.931
  0.1241      0.7085007660     -5.7091117322     -0.2505976733      0.0326886272     1.987
  0.1242      0.7085258363     -5.7047168787     -0.2508099388      0.0327452852     1.798
  0.1243      0.7085509279     -5.7003292675     -0.2510222299      0.0328020054     1.618
  0.1244      0.7085760408     -5.6959488809     -0.2512345467      0.0328587833     1.453
  0.1245      0.7086011749     -5.6915757017     -0.2514468893      0.0329156217     1.703
  0.1246      0.7086263302     -5.6872097124     -0.2516592576      0.0329725160     1.962
  0.1247      0.7086515067     -5.6828508958     -0.2518716516      0.0330294717     1.988
  0.1248      0.7086767045     -5.6784992347     -0.2520840715      0.0330864860     1.715
  0.1249      0.7087019235     -5.6741547120     -0.2522965171      0.0331435600     1.364
  0.1250      0.7087271638     -5.6698173104     -0.2525089886      0.0332006894     1.603
  0.1251      0.7087524253     -5.6654870130     -0.2527214860      0.0332578841     1.923
  0.1252      0.7087777081     -5.6611638027     -0.2529340093      0.0333151335     2.224
  0.1253      0.7088030121     -5.6568476626     -0.2531465584      0.0333724424     1.724
  0.1254      0.7088283374     -5.6525385758     -0.2533591335      0.0334298125     1.297
  0.1255      0.7088536839     -5.6482365255     -0.2535717345      0.0334872393     1.537
  0.1256      0.7088790518     -5.6439414949     -0.2537843615      0.0335447292     2.013
  0.1257      0.7089044408     -5.6396534672     -0.2539970146      0.0336022747     2.229
  0.1258      0.7089298512     -5.6353724257     -0.2542096936      0.0336598804     1.651
  0.1259      0.7089552828     -5.6310983539     -0.2544223987      0.0337175471     1.408
  0.1260      0.7089807356     -5.6268312352     -0.2546351299      0.0337752710     1.509
  0.1261      0.7090062098     -5.6225710530     -0.2548478872      0.0338330567     1.966
  0.1262      0.7090317052     -5.6183177909     -0.2550606706      0.0338908997     2.010
  0.1263      0.7090572219     -5.6140714325     -0.2552734801      0.0339488043     1.790
  0.1264      0.7090827599     -5.6098319613     -0.2554863158      0.0340067683     1.552
  0.1265      0.7091083192     -5.6055993611     -0.2556991777      0.0340647895     1.449
  0.1266      0.7091338997     -5.6013736157     -0.2559120658      0.0341228733     1.750
  0.1267      0.7091595016     -5.5971547087     -0.2561249802      0.0341810159     1.967
  0.1268      0.7091851247     -5.5929426241     -0.2563379208      0.0342392165     1.967
  0.1269      0.7092107692     -5.5887373458     -0.2565508877      0.0342974786     1.688
  0.1270      0.7092364349     -5.5845388576     -0.2567638810      0.0343558012     1.348
  0.1271      0.7092621220     -5.5803471436     -0.2569769005      0.0344141823     1.601
  0.1272      0.7092878303     -5.5761621879     -0.2571899464      0.0344726221     1.928
  0.1273      0.7093135599     -5.5719839744     -0.2574030187      0.0345311260     2.235
  0.1274      0.7093393109     -5.5678124875     -0.2576161175      0.0345896843     1.716
  0.1275      0.7093650832     -5.5636477111     -0.2578292426      0.0346483058     1.293
  0.1276      0.7093908768     -5.5594896297     -0.2580423942      0.0347069881     1.545
  0.1277      0.7094166916     -5.5553382275     -0.2582555723      0.0347657283     2.017
  0.1278      0.7094425279     -5.5511934888     -0.2584687769      0.0348245299     2.237
  0.1279      0.7094683854     -5.5470553980     -0.2586820080      0.0348833912     1.682
  0.1280      0.7094942643     -5.5429239396     -0.2588952657      0.0349423119     1.346
  0.1281      0.7095201645     -5.5387990980     -0.2591085499      0.0350012949     1.524
  0.1282      0.7095460860     -5.5346808579     -0.2593218608      0.0350603354     2.000
  0.1283      0.7095720288     -5.5305692037     -0.2595351982      0.0351194389     2.040
  0.1284      0.7095979930     -5.5264641201     -0.2597485624      0.0351786006     1.791
  0.1285      0.7096239785     -5.5223655918     -0.2599619531      0.0352378231     1.477
  0.1286      0.7096499854     -5.5182736035     -0.2601753706      0.0352971073     1.455
  0.1287      0.7096760136     -5.5141881400     -0.2603888148      0.0353564497     1.797
  0.1288      0.7097020632     -5.5101091861     -0.2606022858      0.0354158554     1.996
  0.1289      0.7097281341     -5.5060367267     -0.2608157835      0.0354753187     1.967
  0.1290      0.7097542263     -5.5019707467     -0.2610293080      0.0355348432     1.619
  0.1291      0.7097803399     -5.4979112311     -0.2612428593      0.0355944286     1.337
  0.1292      0.7098064749     -5.4938581649     -0.2614564375      0.0356540756     1.631
  0.1293      0.7098326312     -5.4898115330     -0.2616700425      0.0357137812     1.954
  0.1294      0.7098588089     -5.4857713208     -0.2618836744      0.0357735499     2.184
  0.1295      0.7098850080     -5.4817375132     -0.2620973333      0.0358333783     1.730
  0.1296      0.7099112284     -5.4777100955     -0.2623110190      0.0358932641     1.281
  0.1297      0.7099374702     -5.4736890529     -0.2625247317      0.0359532163     1.556
  0.1298      0.7099637333     -5.4696743707     -0.2627384715      0.0360132257     2.022
  0.1299      0.7099900179     -5.4656660343     -0.2629522382      0.0360732982     2.229
  0.1300      0.7100163238     -5.4616640290     -0.2631660319      0.0361334288     1.737
  0.1301      0.7100426511     -5.4576683402     -0.2633798527      0.0361936228     1.293
  0.1302      0.7100689997     -5.4536789534     -0.2635937006      0.0362538762     1.530
  0.1303      0.7100953698     -5.4496958542     -0.2638075756      0.0363141915     1.998
  0.1304      0.7101217613     -5.4457190280     -0.2640214778      0.0363745663     2.086
  0.1305      0.7101481741     -5.4417484605     -0.2642354070      0.0364350047     1.794
  0.1306      0.7101746083     -5.4377841373     -0.2644493635      0.0364955029     1.427
  0.1307      0.7102010640     -5.4338260441     -0.2646633471      0.0365560615     1.463
  0.1308      0.7102275410     -5.4298741667     -0.2648773580      0.0366166830     1.825
  0.1309      0.7102540394     -5.4259284908     -0.2650913962      0.0366773625     2.007
  0.1310      0.7102805593     -5.4219890022     -0.2653054616      0.0367381075     1.970
  0.1311      0.7103071005     -5.4180556868     -0.2655195543      0.0367989106     1.566
  0.1312      0.7103336632     -5.4141285304     -0.2657336743      0.0368597771     1.329
  0.1313      0.7103602473     -5.4102075192     -0.2659478217      0.0369207023     1.676
  0.1314      0.7103868528     -5.4062926390     -0.2661619965      0.0369816920     1.968
  0.1315      0.7104134797     -5.4023838758     -0.2663761986      0.0370427397     2.147
  0.1316      0.7104401280     -5.3984812158     -0.2665904282      0.0371038525     1.720
  0.1317      0.7104667978     -5.3945846451     -0.2668046852      0.0371650232     1.271
  0.1318      0.7104934889     -5.3906941497     -0.2670189697      0.0372262595     1.561
  0.1319      0.7105202015     -5.3868097161     -0.2672332816      0.0372875541     2.014
  0.1320      0.7105469356     -5.3829313302     -0.2674476211      0.0373489110     2.230
  0.1321      0.7105736911     -5.3790589786     -0.2676619882      0.0374103299     1.750
  0.1322      0.7106004680     -5.3751926474     -0.2678763828      0.0374718130     1.270
  0.1323      0.7106272663     -5.3713323231     -0.2680908050      0.0375333526     1.533
  0.1324      0.7106540862     -5.3674779921     -0.2683052548      0.0375949581     1.990
  0.1325      0.7106809274     -5.3636296408     -0.2685197322      0.0376566252     2.129
  0.1326      0.7107077901     -5.3597872556     -0.2687342373      0.0377183501     1.834
  0.1327      0.7107346742     -5.3559508233     -0.2689487701      0.0377801430     1.344
  0.1328      0.7107615799     -5.3521203302     -0.2691633306      0.0378419915     1.475
  0.1329      0.7107885069     -5.3482957631     -0.2693779189      0.0379039074     1.868
  0.1330      0.7108154554     -5.3444771085     -0.2695925349      0.0379658809     2.029
  0.1331      0.7108424254     -5.3406643533     -0.2698071787      0.0380279197     1.978
  0.1332      0.7108694169     -5.3368574840     -0.2700218503      0.0380900195     1.484
  0.1333      0.7108964298     -5.3330564875     -0.2702365497      0.0381521812     1.330
  0.1334      0.7109234642     -5.3292613507     -0.2704512770      0.0382144039     1.737
  0.1335      0.7109505200     -5.3254720603     -0.2706660322      0.0382766911     1.998
  0.1336      0.7109775974     -5.3216886032     -0.2708808153      0.0383390400     2.151
  0.1337      0.7110046962     -5.3179109664     -0.2710956263      0.0384014501     1.646
  0.1338      0.7110318165     -5.3141391369     -0.2713104653      0.0384639218     1.258
  0.1339      0.7110589583     -5.3103731016     -0.2715253322      0.0385264565     1.579
  0.1340      0.7110861216     -5.3066128476     -0.2717402272      0.0385890558     2.045
