# Device: cuda:2 | TF32 disabled: True
# L=64,  N=4096 spins,  beta_c = ln(1+sqrt(2))/2 ~ 0.44069
# Derivatives: central finite difference, h=0.0001
# Precomputation: 1.57s | Matrix: 16128x16128 | ~3.88 GB/tensor
#     beta            logZ/N      FreeEnergy/N          Energy/N                Cv     dt(s)
  0.1000      0.7030720982     -7.0307209819     -0.2001355147      0.0206740676     2.203
  0.1001      0.7030921221     -7.0238973234     -0.2003422655      0.0207174574     1.742
  0.1002      0.7031121666     -7.0170874914     -0.2005490364      0.0207608998     1.656
  0.1003      0.7031322319     -7.0102914445     -0.2007558276      0.0208043916     1.653
  0.1004      0.7031523178     -7.0035091415     -0.2009626390      0.0208479384     1.722
  0.1005      0.7031724244     -6.9967405414     -0.2011694706      0.0208915351     1.868
  0.1006      0.7031925517     -6.9899856034     -0.2013763225      0.0209351826     1.771
  0.1007      0.7032126997     -6.9832442868     -0.2015831947      0.0209788840     1.632
  0.1008      0.7032328683     -6.9765165510     -0.2017900872      0.0210226370     1.787
  0.1009      0.7032530577     -6.9698023557     -0.2019970001      0.0210664394     1.580
  0.1010      0.7032732677     -6.9631016608     -0.2022039333      0.0211102959     1.780
  0.1011      0.7032934985     -6.9564144261     -0.2024108869      0.0211542040     1.910
  0.1012      0.7033137499     -6.9497406118     -0.2026178609      0.0211981627     1.565
  0.1013      0.7033340221     -6.9430801782     -0.2028248553      0.0212421746     1.863
  0.1014      0.7033543149     -6.9364330857     -0.2030318702      0.0212862387     1.557
  0.1015      0.7033746284     -6.9297992948     -0.2032389055      0.0213303540     1.684
  0.1016      0.7033949627     -6.9231787664     -0.2034459613      0.0213745206     2.012
  0.1017      0.7034153176     -6.9165714613     -0.2036530377      0.0214187411     1.714
  0.1018      0.7034356933     -6.9099773406     -0.2038601346      0.0214630125     1.779
  0.1019      0.7034560896     -6.9033963655     -0.2040672520      0.0215073356     1.532
  0.1020      0.7034765067     -6.8968284973     -0.2042743901      0.0215517122     1.761
  0.1021      0.7034969445     -6.8902736976     -0.2044815487      0.0215961381     2.008
  0.1022      0.7035174030     -6.8837319280     -0.2046887279      0.0216406208     1.742
  0.1023      0.7035378823     -6.8772031502     -0.2048959278      0.0216851513     1.665
  0.1024      0.7035583822     -6.8706873264     -0.2051031484      0.0217297362     1.646
  0.1025      0.7035789029     -6.8641844185     -0.2053103897      0.0217743731     1.733
  0.1026      0.7035994443     -6.8576943889     -0.2055176517      0.0218190615     1.902
  0.1027      0.7036200064     -6.8512171999     -0.2057249344      0.0218638035     1.769
  0.1028      0.7036405893     -6.8447528141     -0.2059322378      0.0219085961     1.626
  0.1029      0.7036611929     -6.8383011941     -0.2061395621      0.0219534424     1.763
  0.1030      0.7036818172     -6.8318623029     -0.2063469071      0.0219983405     1.573
  0.1031      0.7037024623     -6.8254361034     -0.2065542730      0.0220432921     1.812
  0.1032      0.7037231281     -6.8190225587     -0.2067616597      0.0220882938     1.910
  0.1033      0.7037438146     -6.8126216320     -0.2069690673      0.0221333507     1.606
  0.1034      0.7037645219     -6.8062332869     -0.2071764958      0.0221784572     1.803
  0.1035      0.7037852499     -6.7998574869     -0.2073839452      0.0222236197     1.537
  0.1036      0.7038059987     -6.7934941955     -0.2075914155      0.0222688306     1.692
  0.1037      0.7038267682     -6.7871433768     -0.2077989068      0.0223140977     2.026
  0.1038      0.7038475584     -6.7808049946     -0.2080064191      0.0223594154     1.711
  0.1039      0.7038683695     -6.7744790131     -0.2082139524      0.0224047864     1.772
  0.1040      0.7038892012     -6.7681653964     -0.2084215067      0.0224502097     1.522
  0.1041      0.7039100538     -6.7618641091     -0.2086290820      0.0224956859     1.771
  0.1042      0.7039309270     -6.7555751156     -0.2088366784      0.0225412153     2.017
  0.1043      0.7039518211     -6.7492983806     -0.2090442959      0.0225867964     1.744
  0.1044      0.7039727359     -6.7430338688     -0.2092519345      0.0226324302     1.719
  0.1045      0.7039936715     -6.7367815453     -0.2094595943      0.0226781177     1.564
  0.1046      0.7040146278     -6.7305413750     -0.2096672752      0.0227238576     1.747
  0.1047      0.7040356049     -6.7243133232     -0.2098749772      0.0227696511     1.903
  0.1048      0.7040566028     -6.7180973551     -0.2100827005      0.0228154955     1.822
  0.1049      0.7040776215     -6.7118934364     -0.2102904450      0.0228613951     1.629
  0.1050      0.7040986609     -6.7057015325     -0.2104982108      0.0229073452     1.694
  0.1051      0.7041197211     -6.6995216091     -0.2107059978      0.0229533509     1.593
  0.1052      0.7041408021     -6.6933536322     -0.2109138061      0.0229994073     1.856
  0.1053      0.7041619039     -6.6871975677     -0.2111216357      0.0230455174     1.922
  0.1054      0.7041830264     -6.6810533817     -0.2113294867      0.0230916818     1.609
  0.1055      0.7042041698     -6.6749210405     -0.2115373590      0.0231378975     1.743
  0.1056      0.7042253339     -6.6688005105     -0.2117452527      0.0231841675     1.544
  0.1057      0.7042465188     -6.6626917581     -0.2119531678      0.0232304895     1.721
  0.1058      0.7042677245     -6.6565947499     -0.2121611043      0.0232768652     2.060
  0.1059      0.7042889510     -6.6505094528     -0.2123690623      0.0233232947     1.638
  0.1060      0.7043101984     -6.6444358335     -0.2125770417      0.0233697761     1.783
  0.1061      0.7043314665     -6.6383738592     -0.2127850427      0.0234163108     1.510
  0.1062      0.7043527554     -6.6323234968     -0.2129930651      0.0234629016     1.786
  0.1063      0.7043740651     -6.6262847137     -0.2132011091      0.0235095414     2.017
  0.1064      0.7043953956     -6.6202574773     -0.2134091746      0.0235562368     1.741
  0.1065      0.7044167469     -6.6142417550     -0.2136172617      0.0236029861     1.755
  0.1066      0.7044381190     -6.6082375144     -0.2138253705      0.0236497873     1.526
  0.1067      0.7044595120     -6.6022447233     -0.2140335008      0.0236966429     1.751
  0.1068      0.7044809257     -6.5962633496     -0.2142416528      0.0237435505     1.915
  0.1069      0.7045023603     -6.5902933612     -0.2144498265      0.0237905132     1.871
  0.1070      0.7045238157     -6.5843347262     -0.2146580218      0.0238375299     1.634
  0.1071      0.7045452919     -6.5783874128     -0.2148662389      0.0238845970     1.639
  0.1072      0.7045667889     -6.5724513894     -0.2150744777      0.0239317202     1.601
  0.1073      0.7045883068     -6.5665266245     -0.2152827383      0.0239788964     1.882
  0.1074      0.7046098455     -6.5606130866     -0.2154910206      0.0240261270     1.923
  0.1075      0.7046314050     -6.5547107443     -0.2156993248      0.0240734083     1.618
  0.1076      0.7046529854     -6.5488195665     -0.2159076507      0.0241207472     1.691
  0.1077      0.7046745865     -6.5429395222     -0.2161159986      0.0241681365     1.541
  0.1078      0.7046962086     -6.5370705803     -0.2163243683      0.0242155819     1.763
  0.1079      0.7047178514     -6.5312127101     -0.2165327599      0.0242630792     2.068
  0.1080      0.7047395151     -6.5253658807     -0.2167411734      0.0243106309     1.622
  0.1081      0.7047611997     -6.5195300615     -0.2169496089      0.0243582377     1.768
  0.1082      0.7047829050     -6.5137052221     -0.2171580663      0.0244058949     1.504
  0.1083      0.7048046313     -6.5078913321     -0.2173665457      0.0244536099     1.785
  0.1084      0.7048263783     -6.5020883611     -0.2175750471      0.0245013761     2.017
  0.1085      0.7048481463     -6.4962962790     -0.2177835705      0.0245491974     1.754
  0.1086      0.7048699351     -6.4905150558     -0.2179921160      0.0245970727     1.748
  0.1087      0.7048917447     -6.4847446614     -0.2182006836      0.0246450012     1.526
  0.1088      0.7049135752     -6.4789850661     -0.2184092732      0.0246929842     1.760
  0.1089      0.7049354266     -6.4732362401     -0.2186178850      0.0247410210     1.927
  0.1090      0.7049572988     -6.4674981539     -0.2188265189      0.0247891114     1.876
  0.1091      0.7049791919     -6.4617707778     -0.2190351750      0.0248372571     1.670
  0.1092      0.7050011058     -6.4560540825     -0.2192438533      0.0248854555     1.579
