# beta E_per_spin std_E M_per_spin std_M Cv_per_spin
0.100000 -0.20031784 0.00063740 0.01555878 0.00006161 0.02052630
0.110900 -0.22303731 0.00070890 0.01590566 0.00006305 0.02562662
0.121700 -0.24588949 0.00078090 0.01643319 0.00006517 0.03150856
0.132500 -0.26875225 0.00085293 0.01687825 0.00006693 0.03749492
0.143200 -0.29177452 0.00092555 0.01744797 0.00006912 0.04471073
0.153800 -0.31502691 0.00099891 0.01801358 0.00007129 0.05249112
0.164300 -0.33857985 0.00107322 0.01858080 0.00007367 0.06023164
0.174700 -0.36203695 0.00114728 0.01917298 0.00007601 0.06956699
0.185000 -0.38590884 0.00122268 0.01975368 0.00007843 0.07980621
0.195200 -0.40981492 0.00129817 0.02056062 0.00008146 0.09029289
0.205300 -0.43380451 0.00137394 0.02122866 0.00008407 0.10136464
0.215300 -0.45819778 0.00145102 0.02203199 0.00008730 0.11430897
0.225200 -0.48280984 0.00152878 0.02288852 0.00009069 0.12761779
0.235000 -0.50804803 0.00160853 0.02389806 0.00009474 0.14181615
0.244700 -0.53338343 0.00168859 0.02486010 0.00009856 0.15684505
0.254300 -0.55889881 0.00176925 0.02586088 0.00010244 0.17461990
0.263800 -0.58472611 0.00185088 0.02701485 0.00010701 0.19273864
0.273200 -0.61126642 0.00193478 0.02830835 0.00011223 0.21236541
0.282400 -0.63774409 0.00201848 0.02966575 0.00011757 0.23283238
0.291500 -0.66511183 0.00210499 0.03128490 0.00012391 0.25415627
0.300500 -0.69221292 0.00219068 0.03290420 0.00013033 0.27915985
0.309400 -0.72032146 0.00227955 0.03466610 0.00013737 0.30535913
0.318100 -0.74826939 0.00236791 0.03674750 0.00014563 0.33172367
0.326700 -0.77679297 0.00245813 0.03892422 0.00015432 0.36596675
0.335200 -0.80659729 0.00255235 0.04151716 0.00016449 0.39526726
0.343500 -0.83609228 0.00264563 0.04454423 0.00017634 0.43135612
0.351700 -0.86660488 0.00274212 0.04776280 0.00018941 0.46993882
0.359700 -0.89750704 0.00283983 0.05156525 0.00020374 0.50496945
0.367600 -0.92927135 0.00294029 0.05605066 0.00022172 0.55018886
0.375300 -0.96043981 0.00303890 0.06132868 0.00024266 0.60853417
0.382800 -0.99389110 0.00314468 0.06751129 0.00026692 0.65460813
0.390200 -1.02748303 0.00325093 0.07528490 0.00029781 0.71522287
0.397400 -1.06209995 0.00336045 0.08407800 0.00033207 0.78601032
0.404400 -1.09717287 0.00347139 0.09591972 0.00037802 0.85735110
0.411200 -1.13387049 0.00358750 0.11108511 0.00043694 0.94423632
0.417800 -1.17202959 0.00370821 0.13072566 0.00051164 1.03251639
0.424200 -1.21037058 0.00382954 0.15777985 0.00061261 1.14718702
0.430300 -1.25139673 0.00395937 0.19793840 0.00075775 1.27630852
0.436200 -1.29374639 0.00409341 0.25754885 0.00096035 1.42922152
0.441900 -1.33831614 0.00423449 0.34271078 0.00122728 1.61252270
0.447400 -1.38363141 0.00437780 0.44394695 0.00152293 1.71923972
0.452900 -1.42921537 0.00452177 0.55182465 0.00182248 1.68245513
0.458600 -1.47326871 0.00466080 0.64285044 0.00207567 1.55557629
0.464600 -1.51515247 0.00479295 0.71472363 0.00228000 1.39170481
0.471100 -1.55339701 0.00491362 0.76484243 0.00242815 1.22591071
0.478000 -1.58858895 0.00502470 0.80157773 0.00254000 1.09905554
0.485400 -1.62207692 0.00513043 0.83128513 0.00263166 0.98938080
0.493300 -1.65299644 0.00522807 0.85501667 0.00270557 0.89486403
0.501800 -1.68235794 0.00532080 0.87491183 0.00276788 0.81981013
0.510800 -1.70953306 0.00540664 0.89153223 0.00282005 0.74651954
0.520400 -1.73494272 0.00548690 0.90582926 0.00286502 0.68057323
0.530700 -1.75929861 0.00556384 0.91858589 0.00290520 0.60882786
0.541700 -1.78168027 0.00563456 0.92949495 0.00293959 0.56314728
0.553500 -1.80265622 0.00570082 0.93916235 0.00297009 0.50465186
0.566100 -1.82196010 0.00576182 0.94754878 0.00299655 0.46415296
0.579700 -1.83998363 0.00581877 0.95504727 0.00302023 0.41140086
0.594400 -1.85683424 0.00587201 0.96176688 0.00304145 0.37129786
0.610300 -1.87216323 0.00592045 0.96766249 0.00306007 0.33347531
0.627600 -1.88629680 0.00596512 0.97288784 0.00307658 0.29592560
0.646600 -1.89929997 0.00600621 0.97754125 0.00309128 0.25855522
0.667500 -1.91101105 0.00604322 0.98160683 0.00310413 0.22562102
0.690700 -1.92161919 0.00607674 0.98519356 0.00311546 0.19415706
0.716700 -1.93093805 0.00610620 0.98828035 0.00312522 0.16412347
0.746200 -1.93925855 0.00613249 0.99095074 0.00313366 0.13771311
0.780100 -1.94653827 0.00615550 0.99325712 0.00314095 0.11151670
0.819900 -1.95265739 0.00617484 0.99515267 0.00314694 0.08772744
0.867700 -1.95781053 0.00619113 0.99672632 0.00315191 0.06526890
0.927400 -1.96189465 0.00620404 0.99795572 0.00315580 0.04592890
1.000000 -1.96484549 0.00621336 0.99883778 0.00315859 0.03009109
