2D Ising Model Multi-Temperature Free Energy Training Summary
======================================================================
L = 64
N = 4096
Boundary = OBC
Number of temperatures = 69
Temperatures (beta) = [0.1, 0.1109, 0.1217, 0.1325, 0.1432, 0.1538, 0.1643, 0.1747, 0.185, 0.1952, 0.2053, 0.2153, 0.2252, 0.235, 0.2447, 0.2543, 0.2638, 0.2732, 0.2824, 0.2915, 0.3005, 0.3094, 0.3181, 0.3267, 0.3352, 0.3435, 0.3517, 0.3597, 0.3676, 0.3753, 0.3828, 0.3902, 0.3974, 0.4044, 0.4112, 0.4178, 0.4242, 0.4303, 0.4362, 0.4419, 0.4474, 0.4529, 0.4586, 0.4646, 0.4711, 0.478, 0.4854, 0.4933, 0.5018, 0.5108, 0.5204, 0.5307, 0.5417, 0.5535, 0.5661, 0.5797, 0.5944, 0.6103, 0.6276, 0.6466, 0.6675, 0.6907, 0.7167, 0.7462, 0.7801, 0.8199, 0.8677, 0.9274, 1.0]
total_batch_size = 2000  (samples_per_temp = 28)
Annealing strategy = THREE-PHASE CRITICAL
  Phase 1 (0-20%):   factor 0.00 -> 0.35 [fast warmup]
  Phase 2 (20-70%):  factor 0.35 -> 0.55 [critical wandering]
  Phase 3 (70-100%): factor 0.55 -> 1.00 [low-T hardening]
Annealing steps = 15000
Warmup steps = 2000
Seed = 24
Training steps = 20000
Model parameters = 2533456
Z2 symmetry = ENABLED

Final Free Energy Results:
----------------------------------------------------------------------
Beta       F/n             std(F/n)       
----------------------------------------------------------------------
0.1000     -7.03071540     0.00016046     
0.1109     -6.36047215     0.00013900     
0.1217     -5.81680334     0.00012518     
0.1325     -5.36362672     0.00010768     
0.1432     -4.98377865     0.00009814     
0.1538     -4.66119128     0.00009248     
0.1643     -4.38417450     0.00008531     
0.1747     -4.14401750     0.00007825     
0.1850     -3.93410018     0.00007647     
0.1952     -3.74929871     0.00007179     
0.2053     -3.58558657     0.00006873     
0.2153     -3.43975651     0.00006684     
0.2252     -3.30922265     0.00006710     
0.2350     -3.19187579     0.00006812     
0.2447     -3.08597935     0.00006874     
0.2543     -2.99009126     0.00007187     
0.2638     -2.90300356     0.00007513     
0.2732     -2.82369515     0.00007938     
0.2824     -2.75205072     0.00008435     
0.2915     -2.68646949     0.00009031     
0.3005     -2.62633101     0.00009741     
0.3094     -2.57109792     0.00010617     
0.3181     -2.52086408     0.00010567     
0.3267     -2.47458547     0.00011070     
0.3352     -2.43191609     0.00011742     
0.3435     -2.39300258     0.00012193     
0.3517     -2.35706170     0.00012861     
0.3597     -2.32425804     0.00013532     
0.3676     -2.29393658     0.00014265     
0.3753     -2.26626431     0.00015069     
0.3828     -2.24101711     0.00015432     
0.3902     -2.21768865     0.00015832     
0.3974     -2.19644266     0.00016231     
0.4044     -2.17711707     0.00016680     
0.4112     -2.15956892     0.00017086     
0.4178     -2.14366713     0.00017905     
0.4242     -2.12929474     0.00019025     
0.4303     -2.11655509     0.00020604     
0.4362     -2.10512841     0.00022196     
0.4419     -2.09494103     0.00023332     
0.4474     -2.08591183     0.00023261     
0.4529     -2.07766641     0.00021709     
0.4586     -2.06989106     0.00019167     
0.4646     -2.06246759     0.00015986     
0.4711     -2.05518127     0.00013527     
0.4780     -2.04819699     0.00011434     
0.4854     -2.04144870     0.00009985     
0.4933     -2.03498080     0.00008631     
0.5018     -2.02875933     0.00007511     
0.5108     -2.02289650     0.00006617     
0.5204     -2.01735335     0.00005879     
0.5307     -2.01211027     0.00005245     
0.5417     -2.00720311     0.00004732     
0.5535     -2.00261779     0.00004265     
0.5661     -1.99838270     0.00003847     
0.5797     -1.99445807     0.00003552     
0.5944     -1.99084856     0.00003221     
0.6103     -1.98755905     0.00002986     
0.6276     -1.98457695     0.00002763     
0.6466     -1.98188353     0.00002563     
0.6675     -1.97948467     0.00002338     
0.6907     -1.97736615     0.00002157     
0.7167     -1.97551776     0.00001966     
0.7462     -1.97392715     0.00001789     
0.7801     -1.97258575     0.00001696     
0.8199     -1.97147748     0.00001591     
0.8677     -1.97059167     0.00001480     
0.9274     -1.96991068     0.00001486     
1.0000     -1.96944619     0.00001751     
