# beta free_energy_per_spin free_energy_std
0.100000 -7.03071540 0.00016046
0.110900 -6.36047215 0.00013900
0.121700 -5.81680334 0.00012518
0.132500 -5.36362672 0.00010768
0.143200 -4.98377865 0.00009814
0.153800 -4.66119128 0.00009248
0.164300 -4.38417450 0.00008531
0.174700 -4.14401750 0.00007825
0.185000 -3.93410018 0.00007647
0.195200 -3.74929871 0.00007179
0.205300 -3.58558657 0.00006873
0.215300 -3.43975651 0.00006684
0.225200 -3.30922265 0.00006710
0.235000 -3.19187579 0.00006812
0.244700 -3.08597935 0.00006874
0.254300 -2.99009126 0.00007187
0.263800 -2.90300356 0.00007513
0.273200 -2.82369515 0.00007938
0.282400 -2.75205072 0.00008435
0.291500 -2.68646949 0.00009031
0.300500 -2.62633101 0.00009741
0.309400 -2.57109792 0.00010617
0.318100 -2.52086408 0.00010567
0.326700 -2.47458547 0.00011070
0.335200 -2.43191609 0.00011742
0.343500 -2.39300258 0.00012193
0.351700 -2.35706170 0.00012861
0.359700 -2.32425804 0.00013532
0.367600 -2.29393658 0.00014265
0.375300 -2.26626431 0.00015069
0.382800 -2.24101711 0.00015432
0.390200 -2.21768865 0.00015832
0.397400 -2.19644266 0.00016231
0.404400 -2.17711707 0.00016680
0.411200 -2.15956892 0.00017086
0.417800 -2.14366713 0.00017905
0.424200 -2.12929474 0.00019025
0.430300 -2.11655509 0.00020604
0.436200 -2.10512841 0.00022196
0.441900 -2.09494103 0.00023332
0.447400 -2.08591183 0.00023261
0.452900 -2.07766641 0.00021709
0.458600 -2.06989106 0.00019167
0.464600 -2.06246759 0.00015986
0.471100 -2.05518127 0.00013527
0.478000 -2.04819699 0.00011434
0.485400 -2.04144870 0.00009985
0.493300 -2.03498080 0.00008631
0.501800 -2.02875933 0.00007511
0.510800 -2.02289650 0.00006617
0.520400 -2.01735335 0.00005879
0.530700 -2.01211027 0.00005245
0.541700 -2.00720311 0.00004732
0.553500 -2.00261779 0.00004265
0.566100 -1.99838270 0.00003847
0.579700 -1.99445807 0.00003552
0.594400 -1.99084856 0.00003221
0.610300 -1.98755905 0.00002986
0.627600 -1.98457695 0.00002763
0.646600 -1.98188353 0.00002563
0.667500 -1.97948467 0.00002338
0.690700 -1.97736615 0.00002157
0.716700 -1.97551776 0.00001966
0.746200 -1.97392715 0.00001789
0.780100 -1.97258575 0.00001696
0.819900 -1.97147748 0.00001591
0.867700 -1.97059167 0.00001480
0.927400 -1.96991068 0.00001486
1.000000 -1.96944619 0.00001751
