beta         AMIS_Cv        
----------------------------
0.100000     0.02021131     
0.121800     0.03086195     
0.143400     0.04426304     
0.164700     0.05984505     
0.185600     0.07833887     
0.206100     0.10136937     
0.226200     0.12676963     
0.245900     0.15723407     
0.265100     0.19012018     
0.283900     0.22994162     
0.302200     0.27561668     
0.320000     0.32760382     
0.337200     0.38918913     
0.353900     0.46246289     
0.370000     0.54099039     
0.385500     0.63530463     
0.400300     0.75275921     
0.414400     0.89406700     
0.427800     1.05704039     
0.440500     1.23205572     
0.452700     1.36889892     
0.464900     1.36885946     
0.477800     1.22903534     
0.492100     1.03388740     
0.508200     0.86634734     
0.526400     0.72256202     
0.547100     0.60354948     
0.570700     0.49842034     
0.597900     0.40973188     
0.629600     0.32995048     
0.667100     0.25826410     
0.712600     0.19561583     
0.769700     0.13905803     
0.845200     0.08848820     
0.954500     0.04758861     
1.000000     0.03707520     
