# beta free_energy_per_spin free_energy_std
0.100000 -7.02912822 0.00020773
0.121800 -5.81027730 0.00016783
0.143400 -4.97490952 0.00013778
0.164700 -4.37164580 0.00011953
0.185600 -3.91954037 0.00011430
0.206100 -3.56987015 0.00010935
0.226200 -3.29284035 0.00010983
0.245900 -3.06921616 0.00011766
0.265100 -2.88689701 0.00013041
0.283900 -2.73569084 0.00014603
0.302200 -2.60979271 0.00016202
0.320000 -2.50418845 0.00018391
0.337200 -2.41560565 0.00020678
0.353900 -2.34057563 0.00022687
0.370000 -2.27727533 0.00024516
0.385500 -2.22383936 0.00026000
0.400300 -2.17908792 0.00027170
0.414400 -2.14173142 0.00029114
0.427800 -2.11074965 0.00032521
0.440500 -2.08529580 0.00035881
0.452700 -2.06431769 0.00037662
0.464900 -2.04656370 0.00035932
0.477800 -2.03090674 0.00031547
0.492100 -2.01662062 0.00025510
0.508200 -2.00355595 0.00019310
0.526400 -1.99172651 0.00015158
0.547100 -1.98113921 0.00011713
0.570700 -1.97184270 0.00009204
0.597900 -1.96380186 0.00007159
0.629600 -1.95699521 0.00005656
0.667100 -1.95138371 0.00004734
0.712600 -1.94688867 0.00003863
0.769700 -1.94343578 0.00003209
0.845200 -1.94093423 0.00002737
0.954500 -1.93927758 0.00002034
1.000000 -1.93892032 0.00002120
