2D Ising Model Multi-Temperature Free Energy Training Summary
======================================================================
L = 64
N = 4096
Boundary = OBC
Number of temperatures = 69
Temperatures (beta) = [0.1, 0.1109, 0.1217, 0.1325, 0.1432, 0.1538, 0.1643, 0.1747, 0.185, 0.1952, 0.2053, 0.2153, 0.2252, 0.235, 0.2447, 0.2543, 0.2638, 0.2732, 0.2824, 0.2915, 0.3005, 0.3094, 0.3181, 0.3267, 0.3352, 0.3435, 0.3517, 0.3597, 0.3676, 0.3753, 0.3828, 0.3902, 0.3974, 0.4044, 0.4112, 0.4178, 0.4242, 0.4303, 0.4362, 0.4419, 0.4474, 0.4529, 0.4586, 0.4646, 0.4711, 0.478, 0.4854, 0.4933, 0.5018, 0.5108, 0.5204, 0.5307, 0.5417, 0.5535, 0.5661, 0.5797, 0.5944, 0.6103, 0.6276, 0.6466, 0.6675, 0.6907, 0.7167, 0.7462, 0.7801, 0.8199, 0.8677, 0.9274, 1.0]
total_batch_size = 2000  (samples_per_temp = 28)
Annealing strategy = THREE-PHASE CRITICAL
  Phase 1 (0-20%):   factor 0.00 -> 0.35 [fast warmup]
  Phase 2 (20-70%):  factor 0.35 -> 0.55 [critical wandering]
  Phase 3 (70-100%): factor 0.55 -> 1.00 [low-T hardening]
Annealing steps = 15000
Warmup steps = 2000
Seed = 7
Training steps = 20000
Model parameters = 2533456
Z2 symmetry = ENABLED

Final Free Energy Results:
----------------------------------------------------------------------
Beta       F/n             std(F/n)       
----------------------------------------------------------------------
0.1000     -7.03071575     0.00016518     
0.1109     -6.36047270     0.00013792     
0.1217     -5.81680348     0.00012098     
0.1325     -5.36362639     0.00010890     
0.1432     -4.98377831     0.00009934     
0.1538     -4.66119152     0.00009397     
0.1643     -4.38417438     0.00008993     
0.1747     -4.14401632     0.00009772     
0.1850     -3.93410014     0.00007793     
0.1952     -3.74929881     0.00007531     
0.2053     -3.58558613     0.00007358     
0.2153     -3.43975592     0.00007436     
0.2252     -3.30922165     0.00007877     
0.2350     -3.19187567     0.00007151     
0.2447     -3.08597932     0.00007096     
0.2543     -2.99009160     0.00007091     
0.2638     -2.90300369     0.00007137     
0.2732     -2.82369428     0.00009552     
0.2824     -2.75205145     0.00007596     
0.2915     -2.68647041     0.00007847     
0.3005     -2.62633240     0.00008191     
0.3094     -2.57110049     0.00008626     
0.3181     -2.52086599     0.00008990     
0.3267     -2.47458777     0.00009666     
0.3352     -2.43191781     0.00010211     
0.3435     -2.39300391     0.00011151     
0.3517     -2.35706458     0.00011623     
0.3597     -2.32426021     0.00012298     
0.3676     -2.29393880     0.00012792     
0.3753     -2.26626737     0.00013282     
0.3828     -2.24102187     0.00013778     
0.3902     -2.21769304     0.00013866     
0.3974     -2.19644857     0.00013897     
0.4044     -2.17712556     0.00013786     
0.4112     -2.15957733     0.00013679     
0.4178     -2.14367683     0.00013764     
0.4242     -2.12930806     0.00014491     
0.4303     -2.11657060     0.00016076     
0.4362     -2.10514469     0.00017971     
0.4419     -2.09495449     0.00019646     
0.4474     -2.08592467     0.00020248     
0.4529     -2.07767643     0.00018901     
0.4586     -2.06989956     0.00016513     
0.4646     -2.06247226     0.00013977     
0.4711     -2.05518620     0.00011704     
0.4780     -2.04820030     0.00010142     
0.4854     -2.04145135     0.00008739     
0.4933     -2.03498220     0.00007660     
0.5018     -2.02876093     0.00006846     
0.5108     -2.02289713     0.00006021     
0.5204     -2.01735397     0.00005404     
0.5307     -2.01211066     0.00004918     
0.5417     -2.00720286     0.00004459     
0.5535     -2.00261829     0.00003980     
0.5661     -1.99838300     0.00003589     
0.5797     -1.99445822     0.00003294     
0.5944     -1.99084861     0.00003000     
0.6103     -1.98755922     0.00002764     
0.6276     -1.98457690     0.00002559     
0.6466     -1.98188375     0.00002333     
0.6675     -1.97948474     0.00002108     
0.6907     -1.97736628     0.00001920     
0.7167     -1.97551787     0.00001778     
0.7462     -1.97392735     0.00001618     
0.7801     -1.97258586     0.00001484     
0.8199     -1.97147754     0.00001343     
0.8677     -1.97059172     0.00001292     
0.9274     -1.96991072     0.00001307     
1.0000     -1.96944612     0.00001635     
