L=64, N=4096, boundary=OBC, seed=7
Training 69 temperatures: [0.1, 0.1109, 0.1217, 0.1325, 0.1432, 0.1538, 0.1643, 0.1747, 0.185, 0.1952, 0.2053, 0.2153, 0.2252, 0.235, 0.2447, 0.2543, 0.2638, 0.2732, 0.2824, 0.2915, 0.3005, 0.3094, 0.3181, 0.3267, 0.3352, 0.3435, 0.3517, 0.3597, 0.3676, 0.3753, 0.3828, 0.3902, 0.3974, 0.4044, 0.4112, 0.4178, 0.4242, 0.4303, 0.4362, 0.4419, 0.4474, 0.4529, 0.4586, 0.4646, 0.4711, 0.478, 0.4854, 0.4933, 0.5018, 0.5108, 0.5204, 0.5307, 0.5417, 0.5535, 0.5661, 0.5797, 0.5944, 0.6103, 0.6276, 0.6466, 0.6675, 0.6907, 0.7167, 0.7462, 0.7801, 0.8199, 0.8677, 0.9274, 1.0]
total_batch_size=2000  →  samples_per_temp=28
Annealing strategy: THREE-PHASE CRITICAL over 15000 steps
  Phase 1 (0-20%):  factor 0.00 -> 0.35 [fast warmup]
  Phase 2 (20-70%): factor 0.35 -> 0.55 [critical wandering β_c≈0.44]
  Phase 3 (70-100%):factor 0.55 -> 1.00 [low-T hardening]
Z2 symmetry: ENABLED (LogProbWrapper)
Hamiltonian: IsingHamiltonian(L=64, n=4096, boundary=OBC)

Model: patched AR, patch_size=2, Z2-symmetric
Parameters: 2,533,456

Optimizer: muon, lr=0.001
Scheduler: warmup(2000) + cosine(eta_min=1e-05)

Starting training...
----------------------------------------------------------------------
Step 100/20000: annealing=0.0117 [P1:warmup], lr=5.95e-05, time=363.0s
Step 200/20000: annealing=0.0233 [P1:warmup], lr=1.09e-04, time=724.4s
Step 300/20000: annealing=0.0350 [P1:warmup], lr=1.59e-04, time=1086.3s
Step 400/20000: annealing=0.0467 [P1:warmup], lr=2.08e-04, time=1448.2s
Step 500/20000: annealing=0.0583 [P1:warmup], lr=2.58e-04, time=1810.3s
Step 600/20000: annealing=0.0700 [P1:warmup], lr=3.07e-04, time=2172.4s
Step 700/20000: annealing=0.0817 [P1:warmup], lr=3.57e-04, time=2534.9s
Step 800/20000: annealing=0.0933 [P1:warmup], lr=4.06e-04, time=2897.2s
Step 900/20000: annealing=0.1050 [P1:warmup], lr=4.56e-04, time=3259.6s
Step 1000/20000: annealing=0.1167 [P1:warmup], lr=5.05e-04, time=3622.0s
Step 1100/20000: annealing=0.1283 [P1:warmup], lr=5.55e-04, time=3984.4s
Step 1200/20000: annealing=0.1400 [P1:warmup], lr=6.04e-04, time=4346.5s
Step 1300/20000: annealing=0.1517 [P1:warmup], lr=6.54e-04, time=4708.7s
