# beta E_per_spin std_E M_per_spin std_M Cv_per_spin
0.100000 -0.20017990 0.00063703 0.01562267 0.00006195 0.02083438
0.110900 -0.22255017 0.00070737 0.01598338 0.00006329 0.02567757
0.121700 -0.24538910 0.00077932 0.01648635 0.00006534 0.03149865
0.132500 -0.26837441 0.00085173 0.01698609 0.00006721 0.03744548
0.143200 -0.29166423 0.00092518 0.01733836 0.00006874 0.04445891
0.153800 -0.31503331 0.00099893 0.01800054 0.00007134 0.05244515
0.164300 -0.33835054 0.00107252 0.01864281 0.00007384 0.06069271
0.174700 -0.36166066 0.00114611 0.01917064 0.00007607 0.06987018
0.185000 -0.38538310 0.00122101 0.01984707 0.00007870 0.07964340
0.195200 -0.40961563 0.00129754 0.02056374 0.00008142 0.08997167
0.205300 -0.43352840 0.00137308 0.02122152 0.00008408 0.10181475
0.215300 -0.45817917 0.00145094 0.02200822 0.00008733 0.11352150
0.225200 -0.48273508 0.00152854 0.02283703 0.00009051 0.12705334
0.235000 -0.50795082 0.00160823 0.02382148 0.00009447 0.14250959
0.244700 -0.53317506 0.00168796 0.02481660 0.00009835 0.15924992
0.254300 -0.55936952 0.00177073 0.02589401 0.00010254 0.17400826
0.263800 -0.58463091 0.00185057 0.02698542 0.00010686 0.19144512
0.273200 -0.61143424 0.00193531 0.02814255 0.00011152 0.21275262
0.282400 -0.63769282 0.00201830 0.02968033 0.00011767 0.23071640
0.291500 -0.66488728 0.00210429 0.03117995 0.00012333 0.25523126
0.300500 -0.69195445 0.00218986 0.03299483 0.00013055 0.27908982
0.309400 -0.72024266 0.00227931 0.03455395 0.00013683 0.30549411
0.318100 -0.74846513 0.00236854 0.03667712 0.00014539 0.33232350
0.326700 -0.77733962 0.00245983 0.03892899 0.00015410 0.36111260
0.335200 -0.80657563 0.00255229 0.04143457 0.00016399 0.39562202
0.343500 -0.83578299 0.00264465 0.04409000 0.00017444 0.43121409
0.351700 -0.86666930 0.00274234 0.04744188 0.00018802 0.47224605
0.359700 -0.89750432 0.00283983 0.05155845 0.00020380 0.50607640
0.367600 -0.92894971 0.00293928 0.05576193 0.00022085 0.55233187
0.375300 -0.96110206 0.00304097 0.06104171 0.00024171 0.60209175
0.382800 -0.99331932 0.00314286 0.06723852 0.00026542 0.64897715
0.390200 -1.02830381 0.00325354 0.07466518 0.00029465 0.72004783
0.397400 -1.06178448 0.00335943 0.08392512 0.00033153 0.77926913
0.404400 -1.09746101 0.00347230 0.09561666 0.00037647 0.85540826
0.411200 -1.13365682 0.00358680 0.11032664 0.00043346 0.93474227
0.417800 -1.17117922 0.00370554 0.13029322 0.00051018 1.03887827
0.424200 -1.21136875 0.00383270 0.15957263 0.00061862 1.14861594
0.430300 -1.25109501 0.00395842 0.19747239 0.00075523 1.27784317
0.436200 -1.29261282 0.00408983 0.25188842 0.00094244 1.43305907
0.441900 -1.33752716 0.00423197 0.33257830 0.00120058 1.59569823
0.447400 -1.38340221 0.00437708 0.43590876 0.00150488 1.71995448
0.452900 -1.42849576 0.00451952 0.54213443 0.00180148 1.70218276
0.458600 -1.47244870 0.00465821 0.63810162 0.00206488 1.56081229
0.464600 -1.51470417 0.00479153 0.71172878 0.00227268 1.38557159
0.471100 -1.55188046 0.00490884 0.76172279 0.00241948 1.23945839
0.478000 -1.58803353 0.00502296 0.80037778 0.00253655 1.11170722
0.485400 -1.62126425 0.00512787 0.83025524 0.00262858 0.99965213
0.493300 -1.65249906 0.00522650 0.85455314 0.00270421 0.89766945
0.501800 -1.68187275 0.00531927 0.87450064 0.00276659 0.81800232
0.510800 -1.70880056 0.00540432 0.89103642 0.00281849 0.74239276
0.520400 -1.73458125 0.00548576 0.90568943 0.00286458 0.68198319
0.530700 -1.75858365 0.00556158 0.91820268 0.00290399 0.61838328
0.541700 -1.78116641 0.00563293 0.92928623 0.00293893 0.56349658
0.553500 -1.80235389 0.00569987 0.93899608 0.00296956 0.50506625
0.566100 -1.82182838 0.00576140 0.94753183 0.00299650 0.45704924
0.579700 -1.83968357 0.00581782 0.95498516 0.00302003 0.41465477
0.594400 -1.85669901 0.00587159 0.96173839 0.00304136 0.37150344
0.610300 -1.87186169 0.00591950 0.96754304 0.00305969 0.33386563
0.627600 -1.88598448 0.00596413 0.97275507 0.00307616 0.29519473
0.646600 -1.89914534 0.00600572 0.97750143 0.00309115 0.26034116
0.667500 -1.91092329 0.00604294 0.98158525 0.00310406 0.22535536
0.690700 -1.92146847 0.00607627 0.98515258 0.00311533 0.19427415
0.716700 -1.93087646 0.00610600 0.98825174 0.00312513 0.16504158
0.746200 -1.93920393 0.00613232 0.99093556 0.00313361 0.13735379
0.780100 -1.94647488 0.00615530 0.99323771 0.00314089 0.11145513
0.819900 -1.95259986 0.00617466 0.99513552 0.00314688 0.08788183
0.867700 -1.95773944 0.00619090 0.99670680 0.00315185 0.06577670
0.927400 -1.96187431 0.00620397 0.99795172 0.00315579 0.04611847
1.000000 -1.96482527 0.00621330 0.99883523 0.00315858 0.03006883
