# beta free_energy_per_spin free_energy_std
0.100000 -7.03071532 0.00016051
0.110900 -6.36047246 0.00013541
0.121700 -5.81680394 0.00011686
0.132500 -5.36362754 0.00010401
0.143200 -4.98377835 0.00009275
0.153800 -4.66119179 0.00008568
0.164300 -4.38417506 0.00007882
0.174700 -4.14401825 0.00007400
0.185000 -3.93410065 0.00007000
0.195200 -3.74929912 0.00006611
0.205300 -3.58558634 0.00006499
0.215300 -3.43975709 0.00006288
0.225200 -3.30922307 0.00006353
0.235000 -3.19187627 0.00006481
0.244700 -3.08597979 0.00006765
0.254300 -2.99009184 0.00007263
0.263800 -2.90300321 0.00007252
0.273200 -2.82369481 0.00008485
0.282400 -2.75205185 0.00007190
0.291500 -2.68647095 0.00007301
0.300500 -2.62633377 0.00007520
0.309400 -2.57110188 0.00007858
0.318100 -2.52086687 0.00008142
0.326700 -2.47458875 0.00008541
0.335200 -2.43191945 0.00009076
0.343500 -2.39300627 0.00009586
0.351700 -2.35706631 0.00009799
0.359700 -2.32426395 0.00010169
0.367600 -2.29394346 0.00010512
0.375300 -2.26627254 0.00010873
0.382800 -2.24102696 0.00011235
0.390200 -2.21769839 0.00011577
0.397400 -2.19645265 0.00011929
0.404400 -2.17712851 0.00012415
0.411200 -2.15957891 0.00013026
0.417800 -2.14367548 0.00013892
0.424200 -2.12930702 0.00014787
0.430300 -2.11656935 0.00016082
0.436200 -2.10514481 0.00017745
0.441900 -2.09495709 0.00019205
0.447400 -2.08592800 0.00019884
0.452900 -2.07767570 0.00019499
0.458600 -2.06989769 0.00017715
0.464600 -2.06246938 0.00015343
0.471100 -2.05518309 0.00013162
0.478000 -2.04819762 0.00011373
0.485400 -2.04144821 0.00009852
0.493300 -2.03498061 0.00008678
0.501800 -2.02875985 0.00007560
0.510800 -2.02289646 0.00006637
0.520400 -2.01735366 0.00005921
0.530700 -2.01211040 0.00005213
0.541700 -2.00720292 0.00004699
0.553500 -2.00261822 0.00004149
0.566100 -1.99838292 0.00003752
0.579700 -1.99445813 0.00003454
0.594400 -1.99084850 0.00003154
0.610300 -1.98755913 0.00002885
0.627600 -1.98457698 0.00002698
0.646600 -1.98188381 0.00002398
0.667500 -1.97948476 0.00002187
0.690700 -1.97736626 0.00002053
0.716700 -1.97551788 0.00001917
0.746200 -1.97392731 0.00001785
0.780100 -1.97258567 0.00001668
0.819900 -1.97147749 0.00001623
0.867700 -1.97059172 0.00001584
0.927400 -1.96991059 0.00001603
1.000000 -1.96944599 0.00001905
