# beta E_per_spin std_E M_per_spin std_M Cv_per_spin
0.100000 -0.19035922 0.00046852 0.06145484 0.00017213 0.01962609
0.144100 -0.27904418 0.00065533 0.06863902 0.00019227 0.04266805
0.187000 -0.37033520 0.00085364 0.07770059 0.00021727 0.07693680
0.228400 -0.46527164 0.00106240 0.08900801 0.00024884 0.12367844
0.268100 -0.56361684 0.00128038 0.10407715 0.00029062 0.18791529
0.305900 -0.66735664 0.00151095 0.12456887 0.00034704 0.26911800
0.341700 -0.77642457 0.00175422 0.15378184 0.00042626 0.37730038
0.375400 -0.89309023 0.00201496 0.19744465 0.00054197 0.51982057
0.406900 -1.01753813 0.00229335 0.26687684 0.00071717 0.69974135
0.436300 -1.15102156 0.00259196 0.37257914 0.00096319 0.91673470
0.464300 -1.29086992 0.00290344 0.51584555 0.00126594 1.08447128
0.492800 -1.42873215 0.00320835 0.67093406 0.00157060 1.08391155
0.524700 -1.55253141 0.00348066 0.79864582 0.00181651 0.89247536
0.563400 -1.65343773 0.00370266 0.88287469 0.00198430 0.65828245
0.612800 -1.73259969 0.00387729 0.93367074 0.00209078 0.45973108
0.678500 -1.79264625 0.00401007 0.96487168 0.00215850 0.30337905
0.771900 -1.83503266 0.00410396 0.98394207 0.00220048 0.17940258
0.923700 -1.86156895 0.00416280 0.99476754 0.00222444 0.07921447
1.000000 -1.86699285 0.00417484 0.99686930 0.00222910 0.05359319
